TA,Key,Indication
Immunology,Drug Hypersensitivity Reactions,Drug Hypersensitivity Reactions
Immunology,Lupus Erythematosus,Lupus Erythematosus
Hematological Disorders,Hemostasis,Hemostasis
Hormonal Disorders,Goiter,Goiter
Immunology,Secondary Humoral Immune Deficiencies,Secondary Humoral Immune Deficiencies
Immunology,X-Linked Agammaglobulinemia,X-Linked Agammaglobulinemia
Immunology,Anaphylaxis,Anaphylaxis
Hematological Disorders,Methaemoglobinaemia,Methaemoglobinaemia
Hematological Disorders,Agranulocytosis,Agranulocytosis
Hematological Disorders,Thrombotic Thrombocytopenic Purpura,Thrombotic Thrombocytopenic Purpura
Immunology,Cutaneous Lupus Erythematosus,Cutaneous Lupus Erythematosus
Hematological Disorders,Neutropenia,Neutropenia
Hormonal Disorders,Subacture Thyroiditis,Subacture Thyroiditis
Hematological Disorders,Erythroblastosis Fetalis,Erythroblastosis Fetalis
Hematological Disorders,Fibrin Stabilizing Factor Deficiency,Fibrin Stabilizing Factor Deficiency
Immunology,Lupus Nephritis,Lupus Nephritis
Dermatology,Hand Dermatitis,Hand Dermatitis
Dermatology,Skin Rash,Skin Rash
Dermatology,Vulvar Lichen Sclerosus,Vulvar Lichen Sclerosus
Cardiovascular,Deep Vein Thrombosis,Deep Vein Thrombosis
Cardiovascular,Acute Coronary Syndrome,Acute Coronary Syndrome
Cardiovascular,Thromboembolic Disease,Thromboembolic Disease
Cardiovascular,Unstable Angina,Unstable Angina
Cardiovascular,Thrombosis,Thrombosis
Cardiovascular,Chronic Heart Failure,Chronic Heart Failure
Cardiovascular,Chronic Stable Angina,Chronic Stable Angina
Cardiovascular,Congestive Heart Failure,Congestive Heart Failure
Cardiovascular,Stable Angina,Stable Angina
Cardiovascular,Digital Ulcers,Digital Ulcers
Cardiovascular,Post-Myocardial Infarction,Post-Myocardial Infarction
Cardiovascular,Intermittent Claudication,Intermittent Claudication
Cardiovascular,Hypotension,Hypotension
Cardiovascular,Cardiac Arrest,Cardiac Arrest
Cardiovascular,Angina,Angina
Cardiovascular,Coronary Artery Disease,Coronary Artery Disease
Cardiovascular,Stroke,Stroke
Cardiovascular,Behcet Disease,Behcet Disease
Cardiovascular,Acute Rheumatic Heart Disease,Acute Rheumatic Heart Disease
Cardiovascular,Thromboembolism,Thromboembolism
Cardiovascular,Patent Ductus Arteriosus,Patent Ductus Arteriosus
Cardiovascular,Arrhythmias,Arrhythmias
Cardiovascular,Arterial Thrombosis,Arterial Thrombosis
Cardiovascular,Acrocyanosis,Acrocyanosis
Cardiovascular,Atrial Flutter,Atrial Flutter
Cardiovascular,Phlebitis,Phlebitis
Cardiovascular,Ischemia,Ischemia
Cardiovascular,Giant Cell Arteritis,Giant Cell Arteritis
Cardiovascular,Orthostatic Hypotension,Orthostatic Hypotension
Cardiovascular,Coronary Disease,Coronary Disease
Cardiovascular,Venous Thromboembolism,Venous Thromboembolism
Cardiovascular,Chronic Coronary Artery Disease,Chronic Coronary Artery Disease
Cardiovascular,Anaphylactic Shock,Anaphylactic Shock
Cardiovascular,Paroxysmal Ventricular Tachycardia,Paroxysmal Ventricular Tachycardia
Cardiovascular,Atherosclerosis,Atherosclerosis
Cardiovascular,Cardiogenic Shock,Cardiogenic Shock
Cardiovascular,Ventricular Arrhythmia,Ventricular Arrhythmia
Cardiovascular,Hemorrhagic Shock,Hemorrhagic Shock
Cardiovascular,Peripheral Arterial Disease,Peripheral Arterial Disease
Cardiovascular,Supraventricular Tachycardia,Supraventricular Tachycardia
Cardiovascular,Cerebral Infarction,Cerebral Infarction
Cardiovascular,Pulmonary Embolism,Pulmonary Embolism
Cardiovascular,Arteriovenous Fistula,Arteriovenous Fistula
Cardiovascular,Idiopathic Hypertension,Idiopathic Hypertension
Cardiovascular,Coronary Arteriosclerosis,Coronary Arteriosclerosis
Cardiovascular,Coronary Thrombosis,Coronary Thrombosis
Cardiovascular,Subarachnoid Hemorrhage,Subarachnoid Hemorrhage
Cardiovascular,Arterial Thromboembolism,Arterial Thromboembolism
Cardiovascular,Left Ventricular Dysfunction,Left Ventricular Dysfunction
Cardiovascular,Cardiomyopathy,Cardiomyopathy
Cardiovascular,Aortic and Peripheral Aneurysms,Aortic and Peripheral Aneurysms
Cardiovascular,Venous Thrombosis,Venous Thrombosis
Cardiovascular,Bradycardia,Bradycardia
Central Nervous System,Batten Disease,Batten Disease
Central Nervous System,General Anesthetic Effect,General Anesthetic Effect
Central Nervous System,Guillain-Barre Syndrome,Guillain-Barre Syndrome
Central Nervous System,Narcolepsy,Narcolepsy
Central Nervous System,Fatigue,Fatigue
Central Nervous System,Sleep Disorders,Sleep Disorders
Central Nervous System,Benzodiazepine Sedation,Benzodiazepine Sedation
Central Nervous System,Polyneuropathies,Polyneuropathies
Central Nervous System,Arthritis Pain,Arthritis Pain
Central Nervous System,Lower Limb Muscle Spasticity,Lower Limb Muscle Spasticity
Central Nervous System,Low Back Pain,Low Back Pain
Central Nervous System,Dental Pain,Dental Pain
Central Nervous System,Arthralgia,Arthralgia
Central Nervous System,Abdominal Pain,Abdominal Pain
Central Nervous System,Myalgia,Myalgia
Central Nervous System,Postherpetic Neuralgia,Postherpetic Neuralgia
Central Nervous System,Ocular Pain,Ocular Pain
Central Nervous System,Lennox-Gastaut Syndrome,Lennox-Gastaut Syndrome
Central Nervous System,Generalized Seizures,Generalized Seizures
Central Nervous System,Essential Tremor,Essential Tremor
Central Nervous System,Local Anesthetic Effect,Local Anesthetic Effect
Central Nervous System,Inflammatory Pain,Inflammatory Pain
Central Nervous System,Tension -Type Headache,Tension -Type Headache
Central Nervous System,Mastalgia,Mastalgia
Central Nervous System,Musculoskeletal Pain,Musculoskeletal Pain
Central Nervous System,Polymyalgia Rheumatica,Polymyalgia Rheumatica
Central Nervous System,Traumatic Pain,Traumatic Pain
Central Nervous System,Neck Pain,Neck Pain
Central Nervous System,Complex Regional Pain Syndrome,Complex Regional Pain Syndrome
Central Nervous System,Sciatica,Sciatica
Central Nervous System,Bladder Pain,Bladder Pain
Central Nervous System,Radiculopathy,Radiculopathy
Central Nervous System,Rheumatoid Arthritis Pain,Rheumatoid Arthritis Pain
Central Nervous System,Anesthetic Effect,Anesthetic Effect
Central Nervous System,Basilar Migraine,Basilar Migraine
Central Nervous System,Cyclical Mastalgia,Cyclical Mastalgia
Central Nervous System,Carotid Sinus Syncope,Carotid Sinus Syncope
Central Nervous System,Renal Colic,Renal Colic
Central Nervous System,Cluster Headache Syndrome,Cluster Headache Syndrome
Infectious Disease,HIV Associated Diarrhea,HIV Associated Diarrhea
Infectious Disease,Cysticercosis,Cysticercosis
Infectious Disease,Human Papillomavirus Infections,Human Papillomavirus Infections
Infectious Disease,Leishmaniasis,Leishmaniasis
Infectious Disease,Chagas Disease,Chagas Disease
Infectious Disease,Skin and Skin Structure Infections by Streptococcus pneumoniae,Skin and Skin Structure Infections by Streptococcus pneumoniae
Musculoskeletal Disorders,Ankylosing Spondylitis,Ankylosing Spondylitis
Metabolic Disorders,Diabetic Macular Edema,Diabetic Macular Edema
Musculoskeletal Disorders,Psoriatic Arthritis,Psoriatic Arthritis
Musculoskeletal Disorders,Polyarticular Juvenile Idiopathic Arthritis,Polyarticular Juvenile Idiopathic Arthritis
Musculoskeletal Disorders,Osteoporosis,Osteoporosis
Metabolic Disorders,Post Menopausal Osteoporosis,Post Menopausal Osteoporosis
Metabolic Disorders,Dysbetalipoproteinemia,Dysbetalipoproteinemia
Non Malignant Disorders,Uterine Leiomyoma,Uterine Leiomyoma
Metabolic Disorders,Glucocorticoid-Induced Osteoporosis,Glucocorticoid-Induced Osteoporosis
Metabolic Disorders,Familial Hypercholesterolemia,Familial Hypercholesterolemia
Metabolic Disorders,Pompe Disease,Pompe Disease
Metabolic Disorders,Diabetic Nephropathy,Diabetic Nephropathy
Musculoskeletal Disorders,Gouty Arthritis,Gouty Arthritis
Metabolic Disorders,Hyperuricemia,Hyperuricemia
Metabolic Disorders,Diabetic Foot Infection,Diabetic Foot Infection
Musculoskeletal Disorders,Acute and Sub-Acute Bursitis,Acute and Sub-Acute Bursitis
Metabolic Disorders,Hyperphenylalaninemia,Hyperphenylalaninemia
Musculoskeletal Disorders,Hemifacial Spasm,Hemifacial Spasm
Musculoskeletal Disorders,Septic Arthritis,Septic Arthritis
Musculoskeletal Disorders,Dupuytren Contracture,Dupuytren Contracture
Musculoskeletal Disorders,Osteopetrosis,Osteopetrosis
Metabolic Disorders,Hypovolemia,Hypovolemia
Musculoskeletal Disorders,Muscle Relaxation,Muscle Relaxation
Nutritional Disorders,Vitamin D Dependent Rickets,Vitamin D Dependent Rickets
Metabolic Disorders,Pituitary ACTH Hypersecretion,Pituitary ACTH Hypersecretion
Metabolic Disorders,Hyperglycemia,Hyperglycemia
Musculoskeletal Disorders,Visceral Muscle Spasms,Visceral Muscle Spasms
Mouth and Dental Disorders,Erosive Oral Lichen Planus,Erosive Oral Lichen Planus
Musculoskeletal Disorders,Paget Disease of Bone,Paget Disease of Bone
Metabolic Disorders,Hypercholesterolemia,Hypercholesterolemia
Mouth and Dental Disorders,Aphthous Ulcers,Aphthous Ulcers
Mouth and Dental Disorders,Gingivitis,Gingivitis
Mouth and Dental Disorders,Mouth Sores,Mouth Sores
Mouth and Dental Disorders,Mouth Ulcers,Mouth Ulcers
Metabolic Disorders,Homozygous Familial Hypercholesterolemia,Homozygous Familial Hypercholesterolemia
Mouth and Dental Disorders,Periodontitis,Periodontitis
Musculoskeletal Disorders,Muscle Spasm,Muscle Spasm
Musculoskeletal Disorders,Bone Fracture,Bone Fracture
Musculoskeletal Disorders,Lateral Epicondyliti,Lateral Epicondyliti
Musculoskeletal Disorders,Osteolytic Lesion,Osteolytic Lesion
Metabolic Disorders,Diabetes Insipidus,Diabetes Insipidus
Musculoskeletal Disorders,Dermatomyositis,Dermatomyositis
Metabolic Disorders,Dyslipidemia,Dyslipidemia
Musculoskeletal Disorders,Osteitis,Osteitis
Mouth and Dental Disorders,Dental Plaque,Dental Plaque
Metabolic Disorders,Hypokalemia,Hypokalemia
Metabolic Disorders,Hyperkalemia,Hyperkalemia
Musculoskeletal Disorders,Rheumatic Disorders,Rheumatic Disorders
Metabolic Disorders,Diabetic Neuropathic Foot Ulcers,Diabetic Neuropathic Foot Ulcers
Musculoskeletal Disorders,Systemic-Onset Juvenile Idiopathic Arthritis,Systemic-Onset Juvenile Idiopathic Arthritis
Metabolic Disorders,Hyperlipidemia,Hyperlipidemia
Musculoskeletal Disorders,Arthritis,Arthritis
Musculoskeletal Disorders,Tenosynovitis,Tenosynovitis
Musculoskeletal Disorders,Torticollis,Torticollis
Metabolic Disorders,Neurogenic Diabetes Insipidus,Neurogenic Diabetes Insipidus
Musculoskeletal Disorders,Myotonic Dystrophy,Myotonic Dystrophy
Nutritional Disorders,Hypophosphatemia,Hypophosphatemia
Musculoskeletal Disorders,Cachexia,Cachexia
Musculoskeletal Disorders,Arthralgia,Arthralgia
Nutritional Disorders,Nyctalopia due to Vitamin A Deficiency,Nyctalopia due to Vitamin A Deficiency
Gastrointestinal,Proctitis,Proctitis
Gastrointestinal,Hepatic Injury,Hepatic Injury
Gastrointestinal,Appendicitis,Appendicitis
Gastrointestinal,Diabetic Gastroparesis,Diabetic Gastroparesis
Gastrointestinal,Traveler's Diarrhea,Traveler's Diarrhea
Gastrointestinal,Cholelithiasis,Cholelithiasis
Gastrointestinal,Esophageal Hemorrhage,Esophageal Hemorrhage
Genetic Disorders,Letterer-Siwe Disease,Letterer-Siwe Disease
Gastrointestinal,Anorectal Disease,Anorectal Disease
Gastrointestinal,Nocturnal Heartburn,Nocturnal Heartburn
Gastrointestinal,Paralytic Ileus,Paralytic Ileus
Central Nervous System,Cognitive Disorders,Cognitive Disorders
Central Nervous System,Panic Disorders,Panic Disorders
Central Nervous System,Opium Withdrawal Syndrome,Opium Withdrawal Syndrome
Central Nervous System,Conduct Disorder,Conduct Disorder
Central Nervous System,Lumbar Stenosis,Lumbar Stenosis
Central Nervous System,Spastic Paralysis,Spastic Paralysis
Central Nervous System,Spinal Cord Disorders,Spinal Cord Disorders
Central Nervous System,Drug Addiction,Drug Addiction
Central Nervous System,Chorea,Chorea
Central Nervous System,Dyskinesia,Dyskinesia
Central Nervous System,Encephalopathy,Encephalopathy
Central Nervous System,Hemiplegia,Hemiplegia
Central Nervous System,Spinal Cord Injury,Spinal Cord Injury
Central Nervous System,Encephalitis,Encephalitis
Hormonal Disorders,Precocious Puberty,Precocious Puberty
Hematological Disorders,Acquired Hemophilia,Acquired Hemophilia
Hormonal Disorders,Secondary Adrenal Insufficiency,Secondary Adrenal Insufficiency
Immunology,Angioneurotic Edema,Angioneurotic Edema
Immunology,Liver Transplant Rejection,Liver Transplant Rejection
Immunology,Lambert-Eaton Myasthenic Syndrome,Lambert-Eaton Myasthenic Syndrome
Hormonal Disorders,Hirsutism,Hirsutism
Hematological Disorders,Vitamin Deficiency Anemia,Vitamin Deficiency Anemia
Hormonal Disorders,Hypopituitarism,Hypopituitarism
Hormonal Disorders,Primary Hyperparathyroidism,Primary Hyperparathyroidism
Immunology,Food Allergy,Food Allergy
Immunology,Ragweed Pollen Allergy,Ragweed Pollen Allergy
Hematological Disorders,Von Willebrand Disease,Von Willebrand Disease
Immunology,Giant Lymph Node Hyperplasia,Giant Lymph Node Hyperplasia
Immunology,Insect Allergy,Insect Allergy
Hormonal Disorders,Secondary Hyperaldosteronism,Secondary Hyperaldosteronism
Hematological Disorders,Stuart Prower Factor Deficiency,Stuart Prower Factor Deficiency
Immunology,Wiskott-Aldrich Syndrome,Wiskott-Aldrich Syndrome
Immunology,Polyarticular Arthritis,Polyarticular Arthritis
Immunology,Auto Inflammatory Disease,Auto Inflammatory Disease
Hematological Disorders,Afibrinogenemia,Afibrinogenemia
Hormonal Disorders,Facial Hirsutism,Facial Hirsutism
Hormonal Disorders,Hyperaldosteronism,Hyperaldosteronism
Immunology,Autoimmune Disorders,Autoimmune Disorders
Immunology,Corneal Graft Rejection,Corneal Graft Rejection
Gastrointestinal,Splenomegaly,Splenomegaly
Gastrointestinal,Primary Biliary Cholangitis,Primary Biliary Cholangitis
Gastrointestinal,Lactose Intolerance,Lactose Intolerance
Gastrointestinal,Collagenous Colitis,Collagenous Colitis
Gastrointestinal,Oral Mucositis,Oral Mucositis
Gastrointestinal,Acidity,Acidity
Gastrointestinal,Pseudomembranous Colitis,Pseudomembranous Colitis
Gastrointestinal,Inflammatory Bowel Disease,Inflammatory Bowel Disease
Gastrointestinal,Alcoholic Hepatitis,Alcoholic Hepatitis
Gastrointestinal,Nausea,Nausea
Gastrointestinal,Ileitis,Ileitis
Gastrointestinal,Hepatobiliary Disease,Hepatobiliary Disease
Gastrointestinal,Intestinal Infection,Intestinal Infection
Gastrointestinal,Pancreatic Fistula,Pancreatic Fistula
Gastrointestinal,Diverticulitis,Diverticulitis
Genito Urinary System And Sex Hormones,Urinary Retention,Urinary Retention
Genito Urinary System And Sex Hormones,Growth Failure In Children With Kidney Disease,Growth Failure In Children With Kidney Disease
Hematological Disorders,Congenital Hypoplastic Anemia,Congenital Hypoplastic Anemia
Genito Urinary System And Sex Hormones,Focal Segmental Glomerulosclerosis,Focal Segmental Glomerulosclerosis
Oncology,Carcinoid Syndrome,Carcinoid Syndrome
Ophthalmology,Herpes Zoster Ophthalmicus,Herpes Zoster Ophthalmicus
Ophthalmology,Giant Papillary Conjunctivitis,Giant Papillary Conjunctivitis
Oncology,Urinary Tract Cancer,Urinary Tract Cancer
Oncology,Neuroendocrine Tumors,Neuroendocrine Tumors
Ophthalmology,Iritis,Iritis
Oncology,Bone Sarcoma,Bone Sarcoma
Ophthalmology,Rhino-Conjunctivitis,Rhino-Conjunctivitis
Dermatology,Cellulite,Cellulite
Cardiovascular,Obstructive Shock,Obstructive Shock
Cardiovascular,Shock,Shock
Hormonal Disorders,Hashimoto Thyroiditis,Hashimoto Thyroiditis
Immunology,Septicaemic Plaque,Septicaemic Plaque
Immunology,Transplant Rejection,Transplant Rejection
Immunology,Pemphigus Vulgaris,Pemphigus Vulgaris
Hormonal Disorders,Thyroid Gland Disorders,Thyroid Gland Disorders
Immunology,Reactive Arthritis,Reactive Arthritis
Hormonal Disorders,Hyperparathyroidism,Hyperparathyroidism
Immunology,Hypersensitivity,Hypersensitivity
Hormonal Disorders,Inappropriate ADH Syndrome,Inappropriate ADH Syndrome
Immunology,Acute Inflammation,Acute Inflammation
Immunology,Chronic Inflammation,Chronic Inflammation
Central Nervous System,Cerebral Palsy,Cerebral Palsy
Central Nervous System,Primary Progressive Multiple Sclerosis,Primary Progressive Multiple Sclerosis
Central Nervous System,Progressive Relapsing Multiple Sclerosis,Progressive Relapsing Multiple Sclerosis
Central Nervous System,Spinal Muscular Atrophy,Spinal Muscular Atrophy
Central Nervous System,Relapsing Multiple Sclerosis,Relapsing Multiple Sclerosis
Central Nervous System,Myoclonic Seizure,Myoclonic Seizure
Central Nervous System,Hypokinesia,Hypokinesia
Central Nervous System,Cerebral Edema,Cerebral Edema
Central Nervous System,Spasmodic Torticollis,Spasmodic Torticollis
Central Nervous System,Dementia Associated With Alzheimer's Disease,Dementia Associated With Alzheimer's Disease
Central Nervous System,Anal Fissure Pain,Anal Fissure Pain
Central Nervous System,Status Epilepticus,Status Epilepticus
Central Nervous System,Restless Legs Syndrome,Restless Legs Syndrome
Central Nervous System,Infantile Spasm,Infantile Spasm
Central Nervous System,Childhood Epilepsy,Childhood Epilepsy
Central Nervous System,Neuro Muscular Disorders,Neuro Muscular Disorders
Central Nervous System,Extrapyramidal Symptoms,Extrapyramidal Symptoms
Central Nervous System,Chronic Inflammatory Demyelinating Polyneuropathy,Chronic Inflammatory Demyelinating Polyneuropathy
Central Nervous System,Tendon and Ligament Pain,Tendon and Ligament Pain
Central Nervous System,Seizures,Seizures
Central Nervous System,Vasomotor Symptoms,Vasomotor Symptoms
Central Nervous System,Atonic Seizure,Atonic Seizure
Central Nervous System,Dravet Syndrome,Dravet Syndrome
Ophthalmology,Branch Retinal Vein Occlusion,Branch Retinal Vein Occlusion
Ophthalmology,Leber's Hereditary Optic Neuropathy,Leber's Hereditary Optic Neuropathy
Ophthalmology,Leber Congenital Amaurosis,Leber Congenital Amaurosis
Ophthalmology,Non-Infectious Conjunctivitis,Non-Infectious Conjunctivitis
Ophthalmology,Limbal Stem Cell Deficiency,Limbal Stem Cell Deficiency
Ophthalmology,Wet Macular Degeneration,Wet Macular Degeneration
Ophthalmology,Corneal Ulcer,Corneal Ulcer
Ophthalmology,Persistent Corneal Epithelial Defects,Persistent Corneal Epithelial Defects
Other Diseases,Injury,Injury
Ophthalmology,Myopia,Myopia
Infectious Disease,Tick Borne Encephalitis,Tick Borne Encephalitis
Infectious Disease,Smallpox,Smallpox
Infectious Disease,Tinea Versicolor,Tinea Versicolor
Infectious Disease,Complicated Skin And Skin Structure Infections,Complicated Skin And Skin Structure Infections
Infectious Disease,Parasitic Skin Diseases,Parasitic Skin Diseases
Infectious Disease,Equine Encephalitis,Equine Encephalitis
Infectious Disease,Herpesviridae Infections,Herpesviridae Infections
Infectious Disease,Alveolar Echinococcosis,Alveolar Echinococcosis
Infectious Disease,Helminthiasis,Helminthiasis
Infectious Disease,African Trypanosomiasis,African Trypanosomiasis
Infectious Disease,Giardiasis,Giardiasis
Infectious Disease,Varicella Zoster Infections,Varicella Zoster Infections
Infectious Disease,Nocardiosis,Nocardiosis
Infectious Disease,Amoebic Liver Abscess,Amoebic Liver Abscess
Infectious Disease,Community-Acquired Infections,Community-Acquired Infections
Infectious Disease,Lymphangitis,Lymphangitis
Infectious Disease,Neurosyphilis,Neurosyphilis
Cardiovascular,Edema,Edema
Cardiovascular,Chronic Thromboembolic Pulmonary Hypertension,Chronic Thromboembolic Pulmonary Hypertension
Cardiovascular,Bacterial Endocarditis,Bacterial Endocarditis
Cardiovascular,Pulmonary Hypertension,Pulmonary Hypertension
Cardiovascular,Tachycardia,Tachycardia
Cardiovascular,Arteriosclerosis,Arteriosclerosis
Cardiovascular,Arteritis,Arteritis
Cardiovascular,Cardiac Asthma,Cardiac Asthma
Cardiovascular,Ventricular Fibrillation,Ventricular Fibrillation
Cardiovascular,Pulmonary Edema,Pulmonary Edema
Cardiovascular,Occlusive Arterial Disease,Occlusive Arterial Disease
Cardiovascular,Pre-Eclampsia,Pre-Eclampsia
Cardiovascular,Eisenmenger Syndrome,Eisenmenger Syndrome
Cardiovascular,Ventricular Tachycardia,Ventricular Tachycardia
Cardiovascular,Hyperemia,Hyperemia
Cardiovascular,Congenital Heart Disease,Congenital Heart Disease
Cardiovascular,Endocarditis,Endocarditis
Cardiovascular,Idiopathic Pulmonary Hypertension,Idiopathic Pulmonary Hypertension
Gastrointestinal,Short Bowel Syndrome,Short Bowel Syndrome
Gastrointestinal,Eosinophilic Esophagitis,Eosinophilic Esophagitis
Gastrointestinal,Hypersecretory Conditions,Hypersecretory Conditions
Gastrointestinal,Zollinger-Ellison Syndrome,Zollinger-Ellison Syndrome
Gastrointestinal,Esophagitis,Esophagitis
Musculoskeletal Disorders,Axial Spondyloarthritis,Axial Spondyloarthritis
Mouth and Dental Disorders,Xerostomia,Xerostomia
Mouth and Dental Disorders,Dental Caries,Dental Caries
Musculoskeletal Disorders,Frozen Shoulder Syndrome,Frozen Shoulder Syndrome
Musculoskeletal Disorders,Juvenile Arthritis,Juvenile Arthritis
Musculoskeletal Disorders,Spondylitis,Spondylitis
Musculoskeletal Disorders,Prosthetic Joint infections,Prosthetic Joint infections
Musculoskeletal Disorders,Polymyositis,Polymyositis
Mouth and Dental Disorders,Periodontal Disease,Periodontal Disease
Musculoskeletal Disorders,Fibrosis,Fibrosis
Musculoskeletal Disorders,Degenerative Spondylolisthesis,Degenerative Spondylolisthesis
Musculoskeletal Disorders,Polymyositis/Idiopathic Inflammatory Myopathy,Polymyositis/Idiopathic Inflammatory Myopathy
Musculoskeletal Disorders,Osteolysis,Osteolysis
Musculoskeletal Disorders,Acute Nonspecific Tenosynovitis,Acute Nonspecific Tenosynovitis
Musculoskeletal Disorders,Fasciitis,Fasciitis
Musculoskeletal Disorders,Musculoskeletal Inflammation,Musculoskeletal Inflammation
Musculoskeletal Disorders,Asthenia,Asthenia
Musculoskeletal Disorders,Articular Cartilage Defect,Articular Cartilage Defect
Women's Health,Intrauterine Growth Restriction,Intrauterine Growth Restriction
Toxicology,Opioid-Induced Constipation,Opioid-Induced Constipation
Ophthalmology,Vernal Keratoconjunctivitis,Vernal Keratoconjunctivitis
Toxicology,Drug Toxicity,Drug Toxicity
Respiratory,Pulmonary Inflammation,Pulmonary Inflammation
Respiratory,Perennial Allergic Asthma,Perennial Allergic Asthma
Toxicology,Ethylene Glycol or Methanol Poisoning,Ethylene Glycol or Methanol Poisoning
Respiratory,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis
Respiratory,Exercise-Induced Bronchoconstriction,Exercise-Induced Bronchoconstriction
Toxicology,Alcohol Poisoning,Alcohol Poisoning
Toxicology,Mushroom Poisoning,Mushroom Poisoning
Ophthalmology,Corneal Degeneration,Corneal Degeneration
Ophthalmology,Sympathetic Ophthalmia,Sympathetic Ophthalmia
Women's Health,Primary Amenorrhea,Primary Amenorrhea
Ophthalmology,Juvenile Glaucoma,Juvenile Glaucoma
Infectious Disease,Systemic Aspergillosis,Systemic Aspergillosis
Male Health,Peyronies Disease,Peyronies Disease
Male Health,Premature Ejaculation,Premature Ejaculation
Male Health,Testicular Hypogonadism,Testicular Hypogonadism
Infectious Disease,Hospital Acquired Pneumonia,Hospital Acquired Pneumonia
Infectious Disease,Systemic Candidiasis,Systemic Candidiasis
Infectious Disease,Pseudomonas aeruginosa Pneumonia,Pseudomonas aeruginosa Pneumonia
Infectious Disease,Skin And Skin Structure Infections,Skin And Skin Structure Infections
Infectious Disease,Chlamydia trachomatis Infections,Chlamydia trachomatis Infections
Male Health,Undescended Testicle,Undescended Testicle
Cardiovascular,Hepatic Veno-Occlusive Disease,Hepatic Veno-Occlusive Disease
Cardiovascular,Thrombophlebitis,Thrombophlebitis
Cardiovascular,Peripheral Artery Occlusive Disease,Peripheral Artery Occlusive Disease
Cardiovascular,Telangiectasis,Telangiectasis
Cardiovascular,Superficial Vein Thrombosis,Superficial Vein Thrombosis
Cardiovascular,Diabetic Hypertension,Diabetic Hypertension
Cardiovascular,Cardiovascular Inflammation,Cardiovascular Inflammation
Cardiovascular,Vasculitis,Vasculitis
Cardiovascular,Cerebral Vasospasm,Cerebral Vasospasm
Central Nervous System,Non-24-Hour Sleep-Wake Syndrome,Non-24-Hour Sleep-Wake Syndrome
Central Nervous System,Peripheral Neuropathic Pain,Peripheral Neuropathic Pain
Central Nervous System,Motor Neuron Diseases,Motor Neuron Diseases
Central Nervous System,Huntington Disease,Huntington Disease
Central Nervous System,Toxoplasmosis Encephalitis,Toxoplasmosis Encephalitis
Central Nervous System,Vascular Dementias,Vascular Dementias
Central Nervous System,Interstitial Cystitis,Interstitial Cystitis
Central Nervous System,Cognitive Impairment Associated With Schizophrenia,Cognitive Impairment Associated With Schizophrenia
Central Nervous System,Peritumoral Brain Edema,Peritumoral Brain Edema
Central Nervous System,Multifocal Motor Neuropathy,Multifocal Motor Neuropathy
Central Nervous System,Tonic-Clonic Seizure,Tonic-Clonic Seizure
Central Nervous System,Polyradiculoneuropathy,Polyradiculoneuropathy
Dermatology,Unspecified Dermatological Disorders,Unspecified Dermatological Disorders
Dermatology,Dyskeratosis Congenita,Dyskeratosis Congenita
Dermatology,Venous Leg Ulcers,Venous Leg Ulcers
Ear Nose Throat Disorders,Nasal Polyps,Nasal Polyps
Ear Nose Throat Disorders,Epiglottitis,Epiglottitis
Ear Nose Throat Disorders,Nasal Obstruction,Nasal Obstruction
Ear Nose Throat Disorders,Rhinosinusitis,Rhinosinusitis
Ear Nose Throat Disorders,Hearing Disorders,Hearing Disorders
Ear Nose Throat Disorders,Deafness,Deafness
Ear Nose Throat Disorders,Laryngostenosis,Laryngostenosis
Genetic Disorders,Argininosuccinic Aciduria,Argininosuccinic Aciduria
Genetic Disorders,Citrullinemia Type I,Citrullinemia Type I
Genetic Disorders,Familial Cold Autoinflammatory Syndrome,Familial Cold Autoinflammatory Syndrome
Genetic Disorders,Ornithine-Transcarbamylase Deficiency,Ornithine-Transcarbamylase Deficiency
Genetic Disorders,Mucopolysaccharidosis VII,Mucopolysaccharidosis VII
Genetic Disorders,Adenosine Deaminase Deficiency Related SCID,Adenosine Deaminase Deficiency Related SCID
Genetic Disorders,Acid Sphingomyelinase Deficiency Type C,Acid Sphingomyelinase Deficiency Type C
Genetic Disorders,Cerebrotendinous Xanthomatosis,Cerebrotendinous Xanthomatosis
Genetic Disorders,WHIM Syndrome,WHIM Syndrome
Genetic Disorders,Hypoammonemia,Hypoammonemia
Genetic Disorders,Severe Combined Immune Deficiency,Severe Combined Immune Deficiency
Genetic Disorders,Lesch-Nyhan Syndrome,Lesch-Nyhan Syndrome
Genetic Disorders,Alpha-Mannosidosis,Alpha-Mannosidosis
Genetic Disorders,Non-Nephropathic,Non-Nephropathic
Genetic Disorders,Hemochromatosis,Hemochromatosis
Genetic Disorders,Porphyria,Porphyria
Genetic Disorders,Familial Lipoprotein Lipase Deficiency,Familial Lipoprotein Lipase Deficiency
Hormonal Disorders,Pituitary Dwarfism,Pituitary Dwarfism
Hematological Disorders,Hemophilia,Hemophilia
Immunology,Birch Pollen Allergy,Birch Pollen Allergy
Hormonal Disorders,Euthyroid Sick Syndrome,Euthyroid Sick Syndrome
Hormonal Disorders,Female Hypogonadism,Female Hypogonadism
Hormonal Disorders,Graves Diseases,Graves Diseases
Genito Urinary System And Sex Hormones,Polyuria,Polyuria
