id,TA,Indication,Generic,Brand,Firm
599,Oncology,Metastatic Hormone Refractory Prostate Cancer,docetaxel,Docetaxel,Allergan
599,Oncology,Non-Small Cell Lung Cancer,docetaxel,Docetaxel,Allergan
600,Oncology,Metastatic Breast Cancer,letrozole + ribociclib succinate,Kisqali Femara,Novartis
601,Oncology,B-Cell Non-Hodgkin Lymphoma,rituximab biosimilar,Truxima,Teva
601,Oncology,Chronic Lymphocytic Leukemia,rituximab biosimilar,Truxima,Teva
601,Oncology,Follicular Lymphoma,rituximab biosimilar,Truxima,Teva
602,Metabolic Disorders,Hypoalbuminemia,albumin (human),Albutein,Grifols Inc
603,Oncology,Medullary Thyroid Cancer,vandetanib,Caprelsa,Genzyme Corp
604,Oncology,Carcinoid Tumor,octreotide acetate LAR,Sandostatin LAR,Novartis
604,Oncology,Neuroendocrine Tumors,octreotide acetate LAR,Sandostatin LAR,Novartis
605,Oncology,Colon Cancer,Entia,Oxaliplatin,Teva
605,Oncology,Metastatic Colorectal Cancer,Entia,Oxaliplatin,Teva
606,Oncology,Essential Thrombocythemia,anagrelide hydrochloride,Agrylin,Shire
606,Oncology,Myeloproliferative Disorders,anagrelide hydrochloride,Agrylin,Shire
607,Metabolic Disorders,Dyslipidemia,niacin ER,Niaspan,AbbVie Inc
607,Metabolic Disorders,Hyperlipidemia,niacin ER,Niaspan,AbbVie Inc
607,Metabolic Disorders,Hypertriglyceridemia,niacin ER,Niaspan,AbbVie Inc
607,Metabolic Disorders,Mixed Dyslipidemia,niacin ER,Niaspan,AbbVie Inc
608,Metabolic Disorders,Diabetes Insipidus,vasopressin,Vasopressin,American Regent Inc
609,Oncology,Pheochromocytoma,propranolol hydrochloride,Inderal,Akrimax Pharmaceuticals LLC
610,Oncology,Mycosis Fungoides,betamethasone acetate + betamethasone sodium phosphate,Celestone Soluspan,Merck
611,Metabolic Disorders,Dysbetalipoproteinemia,rosuvastatin calcium ER,Ezallor,Sun Pharma
611,Metabolic Disorders,Homozygous Familial Hypercholesterolemia,rosuvastatin calcium ER,Ezallor,Sun Pharma
611,Metabolic Disorders,Hypertriglyceridemia,rosuvastatin calcium ER,Ezallor,Sun Pharma
612,Oncology,Cutaneous T-Cell Lymphoma,denileukin diftitox,Ontak,Eisai
613,Oncology,Acute Myelocytic Leukemia,glasdegib,Daurismo,Pfizer Inc
614,Metabolic Disorders,Type 1 Diabetes,insulin glargine,Novolin R,Novo Nordisk
614,Metabolic Disorders,Type 2 Diabetes,insulin glargine,Novolin R,Novo Nordisk
615,Metabolic Disorders,Hyperuricemia,rasburicase,Elitek,Sanofi
616,Metabolic Disorders,Type 1 Diabetes,insulin isophane,Humulin N,Lilly USA LLC
616,Metabolic Disorders,Type 2 Diabetes,insulin isophane,Humulin N,Lilly USA LLC
617,Oncology,Malignant Glioma,carmustine,Gliadel,Arbor Pharmaceuticals LLC
617,Oncology,Recurrent Glioblastoma Multiforme,carmustine,Gliadel,Arbor Pharmaceuticals LLC
618,Oncology,Metastatic Breast Cancer,ixabepilone,Ixempra,R-Pharm US LLC
619,Metabolic Disorders,Hypoglycemia,glucagon,Glucagen,Novo Nordisk
620,Oncology,Chronic Myelocytic Leukemia,omacetaxine mepesuccinate,Synribo,Teva
621,Oncology,Mycosis Fungoides,mechlorethamine hydrochloride,Valchlor,Helsinn Therapeutics
622,Metabolic Disorders,Obesity,bupropion hydrochloride + naltrexone,Contrave,Currax Pharmaceuticals LLC
623,Oncology,Anal Cancer,human papillomavirus (9-valent) vaccine,Gardasil 9,Merck
623,Oncology,Cervical Cancer,human papillomavirus (9-valent) vaccine,Gardasil 9,Merck
623,Oncology,Vaginal Cancer,human papillomavirus (9-valent) vaccine,Gardasil 9,Merck
623,Oncology,Vulvar Cancer,human papillomavirus (9-valent) vaccine,Gardasil 9,Merck
624,Oncology,Cutaneous T-Cell Lymphoma,vorinostat,Zolinza,Merck
625,Oncology,Follicular Lymphoma,copanlisib hydrochloride,Aliqopa,Bayer
626,Metabolic Disorders,Obesity,orlistat,Alli,GlaxoSmithKline
627,Metabolic Disorders,Post Menopausal Osteoporosis,ethinylestradiol + norethindrone,Femhrt,Allergan
628,Oncology,Metastatic Breast Cancer,talazoparib,Talzenna,Pfizer Inc
629,Metabolic Disorders,Type 2 Diabetes,metformin hydrochloride,Riomet,Sun Pharma
630,Metabolic Disorders,Hypoglycemia,diazoxide,Proglycem,Teva
631,Metabolic Disorders,Carnitine Deficiency,levocarnitine,Carnitor,Leadiant Biosciences Inc
631,Metabolic Disorders,Secondary Carnitine Deficiency,levocarnitine,Carnitor,Leadiant Biosciences Inc
632,Metabolic Disorders,Diabetic Neuropathic Foot Ulcers,becaplermin,Regranex,OMJ Pharmaceuticals Inc
633,Metabolic Disorders,Obesity,orlistat,Xenical,H2-Pharma LLC
634,Metabolic Disorders,Hypokalemia,hydrochlorothiazide + triamterene,Maxzide,Mylan Inc
635,Metabolic Disorders,Type 2 Diabetes,miglitol,Glyset,Pfizer Inc
636,Metabolic Disorders,Hypoalbuminemia,albumin (human),Kedbumin,Kedrion Biopharma
636,Metabolic Disorders,Hypovolemia,albumin (human),Kedbumin,Kedrion Biopharma
637,Metabolic Disorders,Type 2 Diabetes,glyburide,Diabeta,Sanofi
638,Metabolic Disorders,Type 2 Diabetes,alogliptin benzoate + metformin hydrochloride,Kazano,Takeda Pharmaceutical Co Ltd
639,Oncology,Metastatic Hormone Refractory Prostate Cancer,abiraterone acetate,Yonsa,Sun Pharma
640,Metabolic Disorders,Hypoglycemia,glucagon,Glucagon,Fresenius Kabi USA LLC
641,Oncology,Metastatic Adenocarcinoma of The Pancreas,gemcitabine hydrochloride,Gemcitabine  Hydrochloride,Accord Healthcare Inc
641,Oncology,Metastatic Breast Cancer,gemcitabine hydrochloride,Gemcitabine  Hydrochloride,Accord Healthcare Inc
641,Oncology,Metastatic Ovarian Cancer,gemcitabine hydrochloride,Gemcitabine  Hydrochloride,Accord Healthcare Inc
641,Oncology,Non-Small Cell Lung Cancer,gemcitabine hydrochloride,Gemcitabine  Hydrochloride,Accord Healthcare Inc
642,Oncology,Bone Metastasis,strontium chloride sr 89,Metastron,Q BioMed Inc
643,Oncology,Cervical Cancer,bevacizumab biosimilar,Zirabev,Pfizer Inc
643,Oncology,Metastatic Colorectal Cancer,bevacizumab biosimilar,Zirabev,Pfizer Inc
643,Oncology,Metastatic Renal Cell Carcinoma,bevacizumab biosimilar,Zirabev,Pfizer Inc
643,Oncology,Non-Small Cell Lung Cancer,bevacizumab biosimilar,Zirabev,Pfizer Inc
643,Oncology,Recurrent Glioblastoma Multiforme,bevacizumab biosimilar,Zirabev,Pfizer Inc
644,Oncology,Solid Tumor,larotrectinib sulfate,Vitrakvi,Bayer
645,Oncology,Cervical Cancer,bevacizumab biosimilar,Mvasi,Amgen Inc
645,Oncology,Glioblastoma Multiforme,bevacizumab biosimilar,Mvasi,Amgen Inc
645,Oncology,Metastatic Colorectal Cancer,bevacizumab biosimilar,Mvasi,Amgen Inc
645,Oncology,Metastatic Renal Cell Carcinoma,bevacizumab biosimilar,Mvasi,Amgen Inc
645,Oncology,Non-Small Cell Lung Cancer,bevacizumab biosimilar,Mvasi,Amgen Inc
646,Metabolic Disorders,Type 2 Diabetes,dapagliflozin + metformin hydrochloride,Xigduo XR,AstraZeneca
647,Metabolic Disorders,Type 2 Diabetes,metformin hydrochloride + saxagliptin,Kombiglyze XR,Bristol-Myers Squibb Co
648,Oncology,Cervical Cancer,topotecan hydrochloride,Topotecan Hydrochloride,Teva
648,Oncology,Metastatic Ovarian Cancer,topotecan hydrochloride,Topotecan Hydrochloride,Teva
649,Oncology,Small-Cell Lung Cancer,topotecan hydrochloride,Topotecan Hydrochloride,Teva
650,Oncology,Breast Cancer,"hyaluronidase (recombinant, human) + trastuzumab",Herceptin Hylecta,Genentech
650,Oncology,Metastatic Breast Cancer,"hyaluronidase (recombinant, human) + trastuzumab",Herceptin Hylecta,Genentech
651,Oncology,Mantle Cell Lymphoma,bortezomib,Bortezomib,Fresenius Kabi USA LLC
651,Oncology,Multiple Myeloma,bortezomib,Bortezomib,Fresenius Kabi USA LLC
652,Oncology,Hormone Sensitive Breast Cancer,lapatinib ditosylate,Tykerb,Novartis
652,Oncology,Metastatic Breast Cancer,lapatinib ditosylate,Tykerb,Novartis
653,Oncology,Metastatic Melanoma,vemurafenib,Zelboraf,Hoffmann-La Roche Inc
654,Metabolic Disorders,Hypoglycemia,glucagon,Baqsimi,Eli Lilly
655,Metabolic Disorders,Post Menopausal Osteoporosis,alendronate sodium,Binosto,Mission Pharmacal Company
656,Metabolic Disorders,Hypoglycemia,glucagon,Gvoke,XERIS Pharmaceuticals Inc
657,Oncology,Acute Myelocytic Leukemia,gemtuzumab ozogamicin,Mylotarg,Pfizer Inc
658,Oncology,Chronic Lymphocytic Leukemia,ofatumumab,Arzerra,Novartis
658,Oncology,Refractory Chronic Lymphocytic Leukemia,ofatumumab,Arzerra,Novartis
658,Oncology,Relapsed Chronic Lymphocytic Leukemia,ofatumumab,Arzerra,Novartis
659,Oncology,Metastatic Breast Cancer,gemcitabine hydrochloride,Gemcitabine Hydrochloride,Pfizer Inc
659,Oncology,Metastatic Ovarian Cancer,gemcitabine hydrochloride,Gemcitabine Hydrochloride,Pfizer Inc
659,Oncology,Non-Small Cell Lung Cancer,gemcitabine hydrochloride,Gemcitabine Hydrochloride,Pfizer Inc
659,Oncology,Pancreatic Cancer,gemcitabine hydrochloride,Gemcitabine Hydrochloride,Pfizer Inc
660,Oncology,B-Cell Non-Hodgkin Lymphoma,rituximab biosimilar,Ruxience,Pfizer Inc
660,Oncology,Chronic Lymphocytic Leukemia,rituximab biosimilar,Ruxience,Pfizer Inc
660,Oncology,Diffuse Large B-Cell Lymphoma,rituximab biosimilar,Ruxience,Pfizer Inc
660,Oncology,Follicular Lymphoma,rituximab biosimilar,Ruxience,Pfizer Inc
660,Oncology,Refractory Chronic Lymphocytic Leukemia,rituximab biosimilar,Ruxience,Pfizer Inc
661,Metabolic Disorders,Type 2 Diabetes,ertugliflozin + sitagliptin phosphate,Steglujan,Merck
662,Oncology,Myelofibrosis,oxymetholone,Anadrol,Mylan Inc
663,Oncology,Acute Lymphocytic Leukemia,mercaptopurine,Purixan,Rare Disease Therapeutics Inc
664,Oncology,Bone Metastasis,zoledronic acid,Zoledronic Acid,ACS Dobfar SPA
664,Oncology,Humoral Hypercalcemia of Malignancy,zoledronic acid,Zoledronic Acid,ACS Dobfar SPA
664,Oncology,Multiple Myeloma,zoledronic acid,Zoledronic Acid,ACS Dobfar SPA
665,Oncology,Refractory Multiple Myeloma,selinexor,Xpovio,Karyopharm Therapeutics Inc
665,Oncology,Relapsed Multiple Myeloma,selinexor,Xpovio,Karyopharm Therapeutics Inc
666,Metabolic Disorders,Pompe Disease,alglucosidase alfa,Lumizyme,Genzyme Corp
667,Metabolic Disorders,Heterozygous familial hypercholesterolemia,lovastatin ER,Altoprev,Covis
667,Metabolic Disorders,Hypercholesterolemia,lovastatin ER,Altoprev,Covis
667,Metabolic Disorders,Mixed Dyslipidemia,lovastatin ER,Altoprev,Covis
668,Oncology,Breast Cancer,tamoxifen citrate,Soltamox,Fortovia Therapeutics Inc
668,Oncology,Ductal Carcinoma In Situ,tamoxifen citrate,Soltamox,Fortovia Therapeutics Inc
668,Oncology,Hormone Sensitive Breast Cancer,tamoxifen citrate,Soltamox,Fortovia Therapeutics Inc
668,Oncology,Metastatic Breast Cancer,tamoxifen citrate,Soltamox,Fortovia Therapeutics Inc
669,Oncology,Squamous Non-Small Cell Lung Cancer,necitumumab,Portrazza,Eli Lilly
670,Oncology,Metastatic Melanoma,binimetinib + encorafenib,Braftovi + Mektovi,Array BioPharma Inc
671,Metabolic Disorders,Hyperkalemia,sodium zirconium cyclosilicate,Lokelma,AstraZeneca
672,Oncology,Non Muscle Invasive Bladder Cancer,bacillus calmette-guerin [strain Tice] vaccine,Tice BCG,Merck
673,Metabolic Disorders,Dysbetalipoproteinemia,simvastatin,Flolipid,L. Perrigo Company
673,Metabolic Disorders,Heterozygous familial hypercholesterolemia,simvastatin,Flolipid,L. Perrigo Company
673,Metabolic Disorders,Homozygous Familial Hypercholesterolemia,simvastatin,Flolipid,L. Perrigo Company
673,Metabolic Disorders,Hypercholesterolemia,simvastatin,Flolipid,L. Perrigo Company
673,Metabolic Disorders,Hypertriglyceridemia,simvastatin,Flolipid,L. Perrigo Company
673,Metabolic Disorders,Mixed Dyslipidemia,simvastatin,Flolipid,L. Perrigo Company
674,Oncology,Hairy Cell Leukemia,pentostatin,Nipent,Pfizer Inc
675,Metabolic Disorders,Hypercholesterolemia,fenofibrate,Antara,Lupin Ltd
675,Metabolic Disorders,Hypertriglyceridemia,fenofibrate,Antara,Lupin Ltd
675,Metabolic Disorders,Mixed Dyslipidemia,fenofibrate,Antara,Lupin Ltd
676,Metabolic Disorders,Type 1 Diabetes,insulin isophane,Novolin N,Novo Nordisk
676,Metabolic Disorders,Type 2 Diabetes,insulin isophane,Novolin N,Novo Nordisk
677,Metabolic Disorders,Type 2 Diabetes,metformin hydrochloride + pioglitazone hydrochloride,Actoplus Met,Takeda Pharmaceutical Co Ltd
678,Metabolic Disorders,Type 2 Diabetes,metformin hydrochloride + sitagliptin phosphate,Janumet XR,Merck
679,Metabolic Disorders,Type 2 Diabetes,ertugliflozin,Steglatro,Merck
680,Metabolic Disorders,Type 2 Diabetes,rosiglitazone maleate,Avandia,SB Pharmco Puerto Rico Inc
681,Metabolic Disorders,Post Menopausal Osteoporosis,alendronate sodium + cholecalciferol,Fosamax Plus D,Merck
682,Metabolic Disorders,Post Menopausal Osteoporosis,estradiol + norethindrone,Activella,Novo Nordisk
683,Oncology,Basal Cell Carcinoma,fluorouracil,Efudex,Bausch
684,Metabolic Disorders,Hyperuricemia,allopurinol,Aloprim,Mylan Inc
685,Oncology,Metastatic Prostate Cancer,nilutamide,Nilandron,Concordia
686,Metabolic Disorders,Type 1 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 50/50 Kwikpen,Lilly USA LLC
686,Metabolic Disorders,Type 2 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 50/50 Kwikpen,Lilly USA LLC
687,Metabolic Disorders,Type 1 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 50/50,Lilly USA LLC
687,Metabolic Disorders,Type 2 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 50/50,Lilly USA LLC
688,Metabolic Disorders,Type 1 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 75/25,Lilly USA LLC
688,Metabolic Disorders,Type 2 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 75/25,Lilly USA LLC
689,Metabolic Disorders,Type 1 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 75/25 Kwikpen,Lilly USA LLC
689,Metabolic Disorders,Type 2 Diabetes,insulin lispro + insulin lispro protamine,Humalog Mix 75/25 Kwikpen,Lilly USA LLC
690,Metabolic Disorders,Type 2 Diabetes,empagliflozin + metformin hydrochloride ER,Synjardy XR,Boehringer
691,Metabolic Disorders,Obesity,dronabinol,Marinol,AbbVie Inc
692,Oncology,Thyroid Cancer,thyrotropin alfa,Thyrogen,Genzyme Corp
693,Oncology,Non-Small Cell Lung Cancer,dacomitinib,Vizimpro,Pfizer Inc
694,Oncology,Breast Cancer,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Choriocarcinoma,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Cutaneous T-Cell Lymphoma,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Head And Neck Cancer,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Mycosis Fungoides,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Non-Hodgkin Lymphoma,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Small-Cell Lung Cancer,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
694,Oncology,Squamous Non-Small Cell Lung Cancer,methotrexate,Methotrexate Sodium,Endo Pharmaceuticals
695,Oncology,Gastric Cancer,docetaxel,Docetaxel,Eagle Pharmaceuticals Inc
695,Oncology,Head And Neck Cancer Squamous Cell Carcinoma,docetaxel,Docetaxel,Eagle Pharmaceuticals Inc
695,Oncology,Hormone Refractory Prostate Cancer,docetaxel,Docetaxel,Eagle Pharmaceuticals Inc
695,Oncology,Metastatic Breast Cancer,docetaxel,Docetaxel,Eagle Pharmaceuticals Inc
695,Oncology,Non-Small Cell Lung Cancer,docetaxel,Docetaxel,Eagle Pharmaceuticals Inc
696,Metabolic Disorders,Type 1 Diabetes,insulin human,Myxredlin,Celerity Pharmaceuticals LLC
696,Metabolic Disorders,Type 2 Diabetes,insulin human,Myxredlin,Celerity Pharmaceuticals LLC
697,Oncology,Metastatic Ovarian Cancer,topotecan hydrochloride,Hycamtin,Novartis
697,Oncology,Small-Cell Lung Cancer,topotecan hydrochloride,Hycamtin,Novartis
698,Oncology,T-Cell Acute Lymphocytic Leukemia,nelarabine,Arranon,Novartis
699,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,trastuzumab biosimilar,Trazimera,Pfizer Inc
699,Oncology,Breast Cancer,trastuzumab biosimilar,Trazimera,Pfizer Inc
699,Oncology,Metastatic Breast Cancer,trastuzumab biosimilar,Trazimera,Pfizer Inc
700,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,docetaxel,Docetaxel,Accord Healthcare Inc
700,Oncology,Head And Neck Cancer Squamous Cell Carcinoma,docetaxel,Docetaxel,Accord Healthcare Inc
700,Oncology,Hormone Refractory Prostate Cancer,docetaxel,Docetaxel,Accord Healthcare Inc
700,Oncology,Hormone Sensitive Breast Cancer,docetaxel,Docetaxel,Accord Healthcare Inc
700,Oncology,Metastatic Breast Cancer,docetaxel,Docetaxel,Accord Healthcare Inc
700,Oncology,Non-Small Cell Lung Cancer,docetaxel,Docetaxel,Accord Healthcare Inc
701,Oncology,Metastatic Transitional Tract Cancer,erdafitinib,Balversa,Janssen
702,Oncology,Basal Cell Carcinoma,sonidegib phosphate,Odomzo,Sun Pharma
703,Oncology,Germinomatous Germ Cell Tumors,ifosfamide,Ifex,Baxter
704,Metabolic Disorders,Type 2 Diabetes,semaglutide,Rybelsus,Novo Nordisk
705,Oncology,Bone Metastasis,Zacpira,Zoledronic Acid,Pfizer Inc
705,Oncology,Humoral Hypercalcemia of Malignancy,Zacpira,Zoledronic Acid,Pfizer Inc
705,Oncology,Multiple Myeloma,Zacpira,Zoledronic Acid,Pfizer Inc
706,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,trastuzumab biosimilar,Ogivri,Mylan Inc
706,Oncology,Breast Cancer,trastuzumab biosimilar,Ogivri,Mylan Inc
706,Oncology,Gastric Cancer,trastuzumab biosimilar,Ogivri,Mylan Inc
706,Oncology,Metastatic Breast Cancer,trastuzumab biosimilar,Ogivri,Mylan Inc
707,Oncology,Metastatic Ovarian Cancer,niraparib,Zejula,TESARO Inc
708,Oncology,Acute Lymphocytic Leukemia,clofarabine,Clolar,Genzyme Corp
709,Metabolic Disorders,Post Menopausal Osteoporosis,raloxifene hydrochloride,Evista,Eli Lilly
710,Oncology,Humoral Hypercalcemia of Malignancy,prednisolone sodium phosphate ODT,Orapred,Prasco LLC
710,Oncology,Leukemia,prednisolone sodium phosphate ODT,Orapred,Prasco LLC
710,Oncology,Lymphoma,prednisolone sodium phosphate ODT,Orapred,Prasco LLC
710,Oncology,Mycosis Fungoides,prednisolone sodium phosphate ODT,Orapred,Prasco LLC
711,Oncology,Humoral Hypercalcemia of Malignancy,prednisolone sodium phosphate ODT,Orapred,Concordia
711,Oncology,Leukemia,prednisolone sodium phosphate ODT,Orapred,Concordia
711,Oncology,Lymphoma,prednisolone sodium phosphate ODT,Orapred,Concordia
711,Oncology,Mycosis Fungoides,prednisolone sodium phosphate ODT,Orapred,Concordia
712,Metabolic Disorders,Post Menopausal Osteoporosis,estradiol ER,Menostar,Bayer
713,Metabolic Disorders,Post Menopausal Osteoporosis,estradiol ER,Climara,Bayer
714,Metabolic Disorders,Diabetes Insipidus,desmopressin acetate,Minirin,Ferring Pharmaceuticals
715,Metabolic Disorders,Diabetes Insipidus,desmopressin acetate,Ddavp,Ferring Pharmaceuticals
716,Metabolic Disorders,Hypoalbuminemia,albumin (human),Albuminex,Bio Products Laboratory
716,Metabolic Disorders,Hypovolemia,albumin (human),Albuminex,Bio Products Laboratory
717,Metabolic Disorders,Familial Amyloid Cardiomyopathy,tafamidis meglumine,Vyndaqel,Pfizer Inc
718,Oncology,Chronic Lymphocytic Leukemia,"hyaluronidase (recombinant, human) + rituximab",Rituxan Hycela,Genentech
718,Oncology,Diffuse Large B-Cell Lymphoma,"hyaluronidase (recombinant, human) + rituximab",Rituxan Hycela,Genentech
718,Oncology,Follicular Lymphoma,"hyaluronidase (recombinant, human) + rituximab",Rituxan Hycela,Genentech
719,Metabolic Disorders,Familial Amyloid Cardiomyopathy,tafamidis,Vyndamax,Pfizer Inc
720,Oncology,Paraganglioma,iobenguane I 131,Azedra,Progenics Pharmaceuticals Inc
720,Oncology,Pheochromocytoma,iobenguane I 131,Azedra,Progenics Pharmaceuticals Inc
721,Metabolic Disorders,Dysbetalipoproteinemia,pravastatin sodium,Pravachol,Bristol-Myers Squibb Co
721,Metabolic Disorders,Heterozygous familial hypercholesterolemia,pravastatin sodium,Pravachol,Bristol-Myers Squibb Co
721,Metabolic Disorders,Hypercholesterolemia,pravastatin sodium,Pravachol,Bristol-Myers Squibb Co
721,Metabolic Disorders,Hyperlipidemia,pravastatin sodium,Pravachol,Bristol-Myers Squibb Co
721,Metabolic Disorders,Mixed Dyslipidemia,pravastatin sodium,Pravachol,Bristol-Myers Squibb Co
722,Oncology,Acute Myelocytic Leukemia,midostaurin,Rydapt,Novartis
722,Oncology,Mast Cell Leukemia,midostaurin,Rydapt,Novartis
723,Oncology,Hormone Refractory Prostate Cancer,darolutamide,Nubeqa,Bayer
724,Metabolic Disorders,Hypokalemia,potassium chloride,Potassium Chloride,Baxter
725,Oncology,B-Cell Chronic Lymphocytic Leukemia,immune globulin (human),Gammagard,Baxalta Inc
726,Oncology,Humoral Hypercalcemia of Malignancy,pamidronate disodium,Pamidronate Disodium,Hikma Pharmaceuticals
726,Oncology,Osteolytic Bone Metastasis,pamidronate disodium,Pamidronate Disodium,Hikma Pharmaceuticals
727,Metabolic Disorders,Post Menopausal Osteoporosis,estradiol + levonorgestrel,Climara Pro,Bayer
728,Oncology,Pheochromocytoma,phenoxybenzamine hydrochloride,Dibenzyline,Concordia
729,Metabolic Disorders,Hypercholesterolemia,choline fenofibrate,Fibricor,Old API Wind-down Ltd
729,Metabolic Disorders,Hypertriglyceridemia,choline fenofibrate,Fibricor,Old API Wind-down Ltd
729,Metabolic Disorders,Mixed Dyslipidemia,choline fenofibrate,Fibricor,Old API Wind-down Ltd
730,Metabolic Disorders,Type 2 Diabetes,glipizide,Glucotrol,Pfizer Inc
731,Metabolic Disorders,Post Menopausal Osteoporosis,conjugated estrogens + medroxyprogesterone,Premphase,Pfizer Inc
732,Metabolic Disorders,Post Menopausal Osteoporosis,conjugated estrogens + medroxyprogesterone,Prempro,Pfizer Inc
733,Metabolic Disorders,Familial Hypercholesterolemia,colestipol hydrochloride,Colestid,Pfizer Inc
734,Oncology,Acute Lymphocytic Leukemia,mercaptopurine,Purinethol,Stason Pharmaceuticals Inc
735,Oncology,Metastatic Prostate Cancer,estramustine phosphate sodium,Emcyt,Pfizer Inc
736,Metabolic Disorders,Type 1 Diabetes,insulin human + insulin isophane,Novolin,Novo Nordisk
736,Metabolic Disorders,Type 2 Diabetes,insulin human + insulin isophane,Novolin,Novo Nordisk
737,Oncology,Hodgkin Lymphoma,lomustine,Gleostine,NextSource Biotechnology LLC
737,Oncology,Metastatic Brain Tumor,lomustine,Gleostine,NextSource Biotechnology LLC
738,Oncology,Chronic Myelocytic Leukemia,busulfan,Myleran,Aspen Global Inc
739,Oncology,Androgen-Sensitive Prostate Cancer,estradiol valerate,Delestrogen,Par Pharmaceutical Holdings Inc
740,Metabolic Disorders,Hyperuricemia,allopurinol,Allopurinol,Allergan
741,Oncology,Metastatic Breast Cancer,trastuzumab biosimilar,Herzuma,Teva
742,Oncology,Breast Cancer,trastuzumab biosimilar,Herzuma,Teva
742,Oncology,Gastric Cancer,trastuzumab biosimilar,Herzuma,Teva
742,Oncology,Gastroesophageal Junction Carcinomas,trastuzumab biosimilar,Herzuma,Teva
743,Metabolic Disorders,Type 2 Diabetes,alogliptin benzoate + pioglitazone hydrochloride,Oseni,Takeda Pharmaceutical Co Ltd
744,Oncology,Humoral Hypercalcemia of Malignancy,pamidronate disodium,Aredia,Novartis
744,Oncology,Osteolytic Bone Metastasis,pamidronate disodium,Aredia,Novartis
745,Metabolic Disorders,Heterozygous familial hypercholesterolemia,fluvastatin sodium ER,Lescol XL,Novartis
745,Metabolic Disorders,Hypercholesterolemia,fluvastatin sodium ER,Lescol XL,Novartis
746,Metabolic Disorders,Heterozygous familial hypercholesterolemia,fluvastatin sodium ER,Fluvastatin Sodium,Sandoz
746,Metabolic Disorders,Hypercholesterolemia,fluvastatin sodium ER,Fluvastatin Sodium,Sandoz
747,Metabolic Disorders,Hyperlipidemia,gemfibrozil,Lopid,Pfizer Inc
747,Metabolic Disorders,Hypertriglyceridemia,gemfibrozil,Lopid,Pfizer Inc
748,Oncology,Bladder Carcinoma,valrubicin,Valstar,Endo Pharmaceuticals
749,Oncology,Small-Cell Lung Cancer,etoposide,Etopophos,Bristol-Myers Squibb Co
749,Oncology,Testicular Cancer,etoposide,Etopophos,Bristol-Myers Squibb Co
750,Metabolic Disorders,Obesity,lorcaserin hydrochloride XR,Belviq XR,Eisai
751,Metabolic Disorders,Type 2 Diabetes,ertugliflozin + metformin hydrochloride,Segluromet,Merck
752,Oncology,Chronic Myelomonocytic Leukemia,decitabine,Decitabine,Sun Pharma
752,Oncology,Myelodysplastic Syndrome,decitabine,Decitabine,Sun Pharma
752,Oncology,Refractory Anemia With Excess Blasts,decitabine,Decitabine,Sun Pharma
752,Oncology,Refractory Anemia With Ringed Sideroblasts,decitabine,Decitabine,Sun Pharma
753,Oncology,Melanoma,peginterferon alfa-2b,Sylatron,Merck
754,Metabolic Disorders,Type 2 Diabetes,linagliptin + metformin hydrochloride,Jentadueto XR,Boehringer
755,Oncology,Multiple Myeloma,dexamethasone,Hemady,Dexcel
756,Oncology,Subependymal Giant Cell Astrocytoma,everolimus ODT,Afinitor Disperz,Novartis
757,Oncology,Hormone Sensitive Breast Cancer,fulvestrant,Fulvestrant,Fresenius Kabi USA LLC
758,Oncology,Metastatic Colorectal Cancer,ipilimumab + nivolumab,Opdivo + Yervoy,Bristol-Myers Squibb Co
758,Oncology,Metastatic Melanoma,ipilimumab + nivolumab,Opdivo + Yervoy,Bristol-Myers Squibb Co
758,Oncology,Metastatic Renal Cell Carcinoma,ipilimumab + nivolumab,Opdivo + Yervoy,Bristol-Myers Squibb Co
759,Metabolic Disorders,Obesity,metamphetamine,Desoxyn,Recordati Corp
760,Oncology,Metastatic Adenocarcinoma of The Pancreas,gemcitabine hydrochloride,Infugem,Sun Pharma
760,Oncology,Metastatic Breast Cancer,gemcitabine hydrochloride,Infugem,Sun Pharma
760,Oncology,Metastatic Ovarian Cancer,gemcitabine hydrochloride,Infugem,Sun Pharma
760,Oncology,Non-Small Cell Lung Cancer,gemcitabine hydrochloride,Infugem,Sun Pharma
761,Oncology,Acute Lymphoblastic Lymphoma,doxorubicin,Doxorubicin Hydrochloride,Pfizer Inc
