id,Abstract_Title,Session_Title,Date,Trial Readouts,Clinical Trial Details,FDA Review Outcomes,Endpoints,KOL,New Entries,Recruitment status,Educational and Research,Disease Statistic,Treatment Details,Drug Application,Preclinical,Late-Breaking Abstracts
2009,NRG Oncology CC001: A phase III trial of hippocampal avoidance (HA) in addition to whole-brain radiotherapy (WBRT) plus memantine to preserve neurocognitive function (NCF) in patients with brain metastases (BM).,Central Nervous System Tumors,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,Glioblastoma evolution pattern under surgery and radio(chemo)therapy (RCHT) to identify novel methylome based glioma subtypes.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,First-in-human phase I trial of the combination of two adenoviral vectors expressing HSV1-TK and FLT3L for the treatment of newly diagnosed resectable malignant glioma: Initial results from the therapeutic reprogramming of the brain immune system.,Central Nervous System Tumors,02-06-2019,0,1,0,0,0,1,0,0,0,0,0,0,0
2012,"A randomized phase II trial of veliparib (V), radiotherapy (RT) and temozolomide (TMZ) in patients (pts) with unmethylated MGMT (uMGMT) glioblastoma (GBM).",Central Nervous System Tumors,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,Genomic characterization of lung tumors and metastatic (Met) sites in advanced (Adv) NSCLC.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Evaluation of controlled IL-12 in combination with a PD-1 inhibitor in subjects with recurrent glioblastoma.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Updated phase I trial of anti-LAG-3 or anti-CD137 alone and in combination with anti-PD-1 in patients with recurrent GBM.,Central Nervous System Tumors,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,Circulating tumor DNA analysis (ctDNA) for genomic testing in NSCLC patients with isolated CNS progression.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Quantitative radiographic analysis of phase II and III trials in recurrent glioblastoma treated with VB-111 with or without bevacizumab or bevacizumab monotherapy.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,KEYNOTE-189: Updated OS and progression after the next line of therapy (PFS2) with pembrolizumab (pembro) plus chemo with pemetrexed and platinum vs placebo plus chemo for metastatic nonsquamous NSCLC.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,SurVaxM with standard therapy in newly diagnosed glioblastoma: Phase II trial update.,Central Nervous System Tumors,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Blood tumor mutational burden (bTMB) and tumor PD-L1 as predictive biomarkers of survival in MYSTIC: First-line durvalumab (D) ± tremelimumab (T) versus chemotherapy (CT) in metastatic (m) NSCLC.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,IMpower150: Analysis of efficacy in patients (pts) with liver metastases (mets).,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Spatial and temporal heterogeneity of PD-L1 and its impact on benefit from immune checkpoint blockade in non-small cell lung cancer (NSCLC).,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A phase III randomized study of nivolumab plus ipilimumab versus nivolumab for previously treated patients with stage IV squamous cell lung cancer and no matching biomarker (Lung-MAP Sub-Study S1400I, NCT02785952).",Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,Early clearance of plasma EGFR mutations as a predictor of response to osimertinib and comparator EGFR-TKIs in the FLAURA trial.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,Molecular correlates of PD-L1 expression in patients with non-small cell lung cancer.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Early circulating tumor (ct)DNA dynamics and efficacy of lorlatinib in patients (pts) with advanced ALK-positive non-small cell lung cancer (NSCLC).,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2027,S1507: Phase II study of docetaxel and trametinib in patients with G12C or non-G12C <em>KRAS</em> mutation positive (+) recurrent non-small cell lung cancer (NSCLC).,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2028,c-Met expression and response to telisotuzumab vedotin (teliso-v) in patients with non-small cell lung cancer.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,"A phase II study of talazoparib (BMN 673) in patients with homologous recombination repair deficiency (HRRD) positive stage IV squamous cell lung cancer (Lung-MAP Sub-Study, S1400G).",Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2030,Characterization of mutational processes in ER+ metastatic breast cancer.,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,Five-year long-term overall survival for patients with advanced NSCLC treated with pembrolizumab: Results from KEYNOTE-001.,Lung Cancer—Non-Small Cell Metastatic,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,1
2032,Genomic landscape of de novo stage IV breast cancer.,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,"End-of-study analysis from the phase III, randomized, double-blind, placebo (Pla)-controlled CLEOPATRA study of first-line (1L) pertuzumab (P), trastuzumab (H), and docetaxel (D) in patients (pts) with HER2-positive metastatic breast cancer (MBC).",Breast Cancer—Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2034,Phase II COLET study: Atezolizumab (A) + cobimetinib (C) + paclitaxel (P)/nab-paclitaxel (nP) as first-line (1L) treatment (tx) for patients (pts) with locally advanced or metastatic triple-negative breast cancer (mTNBC).,Breast Cancer—Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2035,Pembrolizumab (P) in patients (pts) with metastatic breast cancer (MBC) with high tumor mutational burden (HTMB): Results from the Targeted Agent and Profiling Utilization Registry (TAPUR) Study.,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,Pembrolizumab (pembro) with paclitaxel (taxol) or capecitabine (cape) as early treatment of metastatic triple-negative breast cancer (mTNBC).,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,"A phase II study of abemaciclib in patients (pts) with brain metastases (BM) secondary to HR+, HER2- metastatic breast cancer (MBC).",Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,mTORC1 activation assessed in metastatic sample to predict outcome in patients with metastatic breast cancer treated with everolimus-exemestan: Results from the SAFIRTOR study.,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,Immunotherapy predictive biomarkers in metastatic breast cancer (MBC).,Breast Cancer—Metastatic,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,In-depth gene expression analysis of premenopausal patients with HR+/HER2- advanced breast cancer (ABC) treated with ribociclib-containing therapy in the Phase III MONALEESA-7 trial.,Breast Cancer—Metastatic,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2041,Biosimilar trastuzumab-dkst monotherapy versus trastuzumab monotherapy after combination therapy: Final overall survival (OS) from the phase III HERITAGE Trial.,Breast Cancer—Metastatic,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2042,"Triplet therapy (continuous ribociclib, everolimus, exemestane) in HR+/HER2- advanced breast cancer postprogression on a CDK4/6 inhibitor (TRINITI-1): Efficacy, safety, and biomarker results.",Breast Cancer—Metastatic,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2043,A feasibility study of induction pemetrexed plus cisplatin followed by pleurectomy/decortication for malignant pleural mesothelioma (Japan Mesothelioma Interest Group 1101 Trial).,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,Randomized phase 2 study of maintenance pemetrexed (Pem) versus observation (Obs) for patients (pts) with malignant pleural mesothelioma (MPM) without progression after first-line chemotherapy: Cancer and Leukemia Group B (CALGB) 30901 (Alliance).,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2045,"Prospective phase I multi-institutional trial of PD-1 blockade with pembrolizumab during concurrent chemoradiation for locally advanced, unresectable non-small cell lung cancer.",Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2046,Veliparib (Vel) in combination with chemoradiotherapy (CRT) of carboplatin/paclitaxel (C/P) plus radiation in patients (pts) with stage III non-small cell lung cancer (NSCLC) (M14-360/AFT-07).,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,Phase II trial combining atezolizumab concurrently with chemoradiation therapy in locally advanced non-small cell lung cancer.,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2048,NEO-adjuvant chemo-immunotherapy for the treatment of STAGE IIIA resectable non-small-cell lung cancer (NSCLC): A phase II multicenter exploratory study—Final data of patients who underwent surgical assessment.,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,1,0,0,0,0,0
2049,Randomized phase II study of adjuvant afatinib for three months versus two years in patients with resected stage I-III <em>EGFR</em> mutant NSCLC.,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2050,"Biomarker driven phase II umbrella trial study of AZD1775, AZD2014, AZD2811 monotherapy in relapsed small cell lung cancer.",Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2051,The role of EGFR inhibitors as adjuvant therapy for EGFR mutation positive non-small cell lung cancer.,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,A randomized phase II study of tremelimumab and durvalumab with or without radiation for patients with relapsed small cell lung cancer (SCLC).,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2053,Phase II trial of carfilzomib and irinotecan in relapsed small cell lung cancer (NCT01941316).,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2054,Ph1/2 study of Rova-T in combination with nivolumab (Nivo) ± ipilimumab (Ipi) for patients (pts) with 2L+ extensive-stage (ED) SCLC.,Lung Cancer—Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,Influence of competing risks on estimates of recurrence risk and breast cancer-specific mortality in analyses of the Early Breast Cancer Trialists Collaborative Group.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,1,0,0,0,0
2056,Simulation modeling of the effects of adjuvant chemotherapy in early-stage breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,Phase II trial of nivolumab with chemotherapy as neoadjuvant treatment in inflammatory breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2058,Distinct mutational landscape between HR+ and HR- HER2+ early-stage breast cancer patients.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,"Ki67 during and after neoadjuvant trastuzumab, pertuzumab and palbociclib plus or minus fulvestrant in HER2 and ER-positive breast cancer: The NA-PHER2 Michelangelo study.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,"Factors associated with twenty-year (y) risks of breast cancer-specific mortality (BCSM) in the Surveillance, Epidemiology, and End Results (SEER) Registry.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,1,0,0,0,0
2061,Impact of the extent of resection on primary breast angiosarcoma survival.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,"NATALEE: Phase III study of ribociclib (RIBO) + endocrine therapy (ET) as adjuvant treatment in hormone receptor–positive (HR+), human epidermal growth factor receptor 2–negative (HER2–) early breast cancer (EBC).",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,The effect of metformin on sex hormones in non-diabetic breast cancer patients in CCTG MA.32: A Phase III randomized adjuvant trial of metformin versus placebo in addition to standard therapy.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2064,"Patterns of systemic treatment utilization in ER+/PgR+/HER2+, early-stage breast cancer (BC): An analysis of the National Cancer Database.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,"Delineating longitudinal patterns of response to neoadjuvant systemic therapy (NAST) in triple-negative breast cancer (TNBC): Profiling results from a randomized, TNBC enrolling trial to confirm molecular profiling improves survival (ARTEMIS; NCT02276443).",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,1,0,0,0,0,0,0
2066,No relationship of axillary total tumor load (TTL) by PCR (OSNA) in early breast cancer and local and distant clinical outcomes.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2067,On-treatment changes in tumor-infiltrating lymphocytes (TIL) during neoadjuvant HER2 therapy (NAT) and clinical outcome.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,"The international collaboration of active surveillance trials for low-risk DCIS (LORIS, LORD, COMET, LORETTA).",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,Prognostic value of PD-L1 gene expression with Recurrence Score and 70-gene signature in patients with ER+/HER2- early breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,Oncotype DX testing in early-stage node-positive breast cancer and impact on chemotherapy use at a comprehensive cancer center.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,PAM50 HER2-enriched subtype as an independent prognostic factor in early-stage HER2+ breast cancer following adjuvant chemotherapy plus trastuzumab in the ShortHER trial.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,Heterogeneity in signaling pathway activity within primary breast cancer and between primary and metastases.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,Prognostic value of PAM50 in residual breast cancer following neoadjuvant endocrine therapy (NET): A retrospective analysis with long follow-up.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,Adjuvant chemotherapy in small node-negative triple-negative breast cancer (TNBC).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,Phase II randomized study of neoadjuvant metformin plus letrozole versus placebo plus letrozole for ER-positive postmenopausal breast cancer [METEOR Study].,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2076,Correlation between mutation landscape and clinical outcomes of neoadjuvant therapy in HER2-positive breast cancer patients.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2077,Correlation of the tumor mutational burden with the composition of the immune cell subpopulations in peripheral blood of triple-negative breast cancer patients undergoing neoadjuvant therapy with durvalumab: Results from the prospectively randomized GeparNuevo trial.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,Clinical behavior of recurrent hormone receptor-positive breast cancer by adjuvant endocrine therapy: A Breast International Group (BIG) 1-98 sub-analyses.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,A prospective validation cohort study of a prediction model on non-sentinel lymph node involvement in early breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,Comparative performance of Breast Cancer Index (BCIN+) and CTS5 in hormone receptor-positive (HR+) lymph node-positive (N+) breast cancer patients with one to three positive nodes (N1).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,TARGIT E(lderly): Prospective phase II trial of intraoperative radiotherapy (IORT) in elderly patients with small breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2082,Gene expression comparison between primary triple-negative breast cancer and matched axillary lymph node metastasis.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,Preoperative checkpoint inhibition (CPI) and cryoablation (Cryo) in women with early-stage breast cancer (ESBC).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,"Health-related quality of life in the Swedish PREDIX HER2 trial, evaluating docetaxel, trastuzumab, pertuzumab versus trastuzumab emtansine as neoadjuvant treatment of HER2-positive breast cancer.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,Genomics of HER2+ breast cancer in young women before and after exposure to chemotherapy (chemo) plus trastuzumab (H).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,Screening for cancer-related distress among women with newly diagnosed breast cancer (BC).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,1,0,0,0,0,0
2087,Breast cancer-specific survival outcomes among patients based on 21-gene recurrence score.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,"KEYNOTE-756: Randomized, double-blind, phase 3 study of pembrolizumab vs placebo combined with neoadjuvant chemotherapy and adjuvant endocrine therapy for high-risk, early-stage estrogen receptor–positive, human epidermal growth factor receptor 2–negative (ER+/HER2-) breast cancer.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2089,A randomized phase III trial comparing dose-dense epirubicin and cyclophosphamide (ECdd) followed by paclitaxel (T) with paclitaxel plus carboplatin (PCdd) as adjuvant chemotherapy for early triple-negative breast cancer patients with high-recurrence risk.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2090,Cognitive impairment in breast cancer patients before surgery?: Results of a subgroup of the French CANTO cohort.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,Cctg MA.39 tailor RT: A randomized trial of regional radiotherapy in biomarker low-risk node-positive breast cancer (NCT03488693).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,Race and response to neoadjuvant chemotherapy according to MammaPrint risk.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,CALGB (Alliance) 40603: Long-term outcomes (LTOs) after neoadjuvant chemotherapy (NACT) +/- carboplatin (Cb) and bevacizumab (Bev) in triple-negative breast cancer (TNBC).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,Biomarker analysis of PALLET: A neoadjuvant trial of letrozole (L) ± palbociclib (P).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,Abandonment trajectories of conventionally fractionated adjuvant radiotherapy in breast cancer care.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,Does the innovative 4R Care Delivery Model improve timing and sequencing of guideline recommended breast cancer care in safety net and non-safety net centers?,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2097,De-escalating adjuvant trastuzumab in human epidermal growth factor receptor 2 (HER2)-positive early-stage breast cancer: A systemic review and meta-analysis.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,Tailored dose-dense chemotherapy in combination with trastuzumab as adjuvant therapy for HER2-positive breast cancer: A secondary analysis of the phase III PANTHER trial.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,Breast Cancer Index and risk stratification in luminal subtypes: A trans-ATAC study.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,Beyond TILs: Predictors of pathologic complete response (pCR) in triple-negative breast cancer (TNBC) patients with moderate tumor-infiltrating lymphocytes (TIL) receiving neoadjuvant therapy.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,Evaluation of predictive biomarkers for AR therapy and to identify the LAR subtype of TNBC.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,"Additional prognostic value of OncoMasTR multigene prognostic signature to clinicopathological information in patients with HR-positive, HER2-negative, lymph node-negative breast cancer from the TAILORx Tissue Bank, Ireland.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Glutaminase (GLS) expression in primary breast cancer (BC): Correlations with clinical and tumor characteristics.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,Prediction of neoadjuvant chemotherapeutic efficacy by CTC and cfDNA in patients with locally advanced breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2105,NSABP B-59/GBG 96-GeparDouze: A randomized double-blind phase III clinical trial of neoadjuvant chemotherapy (NAC) with atezolizumab or placebo in patients (pts) with triple-negative breast cancer (TNBC) followed by adjuvant atezolizumab or placebo.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2106,Tumor immune microenvironment (TiME) changes by multiplex IF staining in a pilot study of neoadjuvant talazoparib for early-stage breast cancer patients with a BRCA mutation.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,A neutrophil to lymphocyte ratio is predictive of response to neoadjuvant HER2-targeted therapies in the patients with HER2-positive breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,Prognostic value of a new clinical-genomic model to predict 10-year risk of recurrence in patients with operable breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,ABC trial (A011502): A randomized phase III double-blinded placebo controlled trial of aspirin as adjuvant therapy breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2110,"Eflapegrastim, a novel and potent long-acting GCSF for reducing chemotherapy-induced neutropenia: Integrated results from two phase III trials in breast cancer patients.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2111,Effect of prophylaxis on neratinib-associated diarrhea and tolerability in patients with HER2+ early-stage breast cancer: Phase II CONTROL trial.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,1,0,0,0,0,0,0,0,0,0
2112,Breast cancer treatment according to pathogenic variants in cancer susceptibility genes in a population-based cohort.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2113,"A novel 95-gene signature (Curebest 95GC Breast) that predicts recurrence-risk in patients with ER-positive, HER2-negative, node-negative, early-stage primary invasive breast cancer with an intermediate Oncotype DX Recurrence Score.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,Germline mutation status and therapy response in high-risk early breast cancer: Results of the GeparOcto study (NCT02125344).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,Effects of Non-Linear or Linear Aerobic Training (AT) Dosing Regimens on Impaired Cardiovascular (CV) Function in Patients with Operable Breast Cancer: A Randomized Controlled Trial (RCT).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,Prediction of occult axillary metastases in treatment-naïve patients with breast cancer: A transSENTINA analysis.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2117,ALEXANDRA/IMpassion030: A phase III study of standard adjuvant chemotherapy with or without atezolizumab in early-stage triple-negative breast cancer.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2118,Evaluation of survival by ADCC status: Subgroup analysis of SB3 (Trastuzumab Biosimilar) and reference trastuzumab in patients with HER2-positive early breast cancer at three-year follow-up.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,Factors associated with osteonecrosis of the jaw in women with breast cancer receiving high-dose bisphosphonates to prevent breast cancer metastases as part of the SWOG 0307 trial.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,Cardiac safety of the trastuzumab biosimilar ABP 980 in women with HER2-positive early breast cancer in the LILAC study.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
2121,Immunologic responses in triple-negative breast cancer patients in a randomized phase IIb trial of nelipepimut-S plus trastuzumab versus trastuzumab alone to prevent recurrence.,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2122,Circulating tumor DNA (ctDNA) during and after neoadjuvant chemotherapy and prior to surgery is a powerful prognostic factor in triple-negative breast cancer (TNBC).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,"The prognostic role of progesterone receptor in patients with rapidly proliferating, hormone receptor-positive early breast cancer.",Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,Role of anthracyclines in neoadjuvant anti-HER2 regimens for HER2+ breast cancer (BC): A network meta-analysis (NMA).,Breast Cancer—Local/Regional/Adjuvant,02-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
