Abstract_Title,Clinical Trial Details,Date,Disease Statistic,Drug Application,Educational and Research,Endpoints,FDA Review Outcomes,KOL,Late-Breaking Abstracts,New Entries,Preclinical,Recruitment status,Relevance,Session_Title,Treatment Details,Trial Readouts,id,Priority
Taking Patient Preferences to Heart,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Prostate) Cancer,0,0,602,Ignore
Turning the Corner in Relapsed/Refractory CNS Lymphoma: Applying Precision and Immune-Based Treatments,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Evolving Treatments for Primary Central Nervous System Lymphoma: A New Horizon?,0,0,603,Ignore
The Best of the Rest: Thyroid and Salivary,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Head and Neck Cancer,0,0,604,Ignore
Oncohistones and Applications in Cancer Care,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Translating the Genetics and Epigenetics of Sarcoma for the Clinician,0,0,605,Ignore
Regulatory T Cells in The Tumor Microenvironment and Cancer Progression: What's New in Therapeutic Targeting Strategies?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Reprogramming the Tumor Microenvironment to Improve Immunotherapy: Emerging Strategies and Combination Therapies,0,0,606,Ignore
Optimizing Breast Cancer Care Across the Continuum,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,"Health Services Research, Clinical Informatics, and Quality of Care",0,0,607,Ignore
PSMA: Is Seeing Believing?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Prostate) Cancer,0,0,608,Ignore
Immunotherapy: Can't Get Enough of IT!,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Head and Neck Cancer,0,0,609,Ignore
Studying the Zebras: Rare but Not Forgotten,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,610,Ignore
Expanding Treatments for the Frail Patient: What to Do for the Elderly Patient With Central Nervous System Lymphoma?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Evolving Treatments for Primary Central Nervous System Lymphoma: A New Horizon?,0,0,611,Ignore
"Care Delivery in Anytown, USA: What Is Feasible?",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Health Services Research, Clinical Informatics, and Quality of Care",0,0,612,Ignore
The Contribution of NSABP Clinical Trials to the Management of Early Breast Cancer: A 60 year Odyssey,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Gianni Bonadonna Breast Cancer Award and Lecture,0,0,613,Ignore
Reprogramming the Tumor Microenvironment to Improve Immunotherapy: Bench to Bedside,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Reprogramming the Tumor Microenvironment to Improve Immunotherapy: Emerging Strategies and Combination Therapies,0,0,614,Ignore
Management of Lifestyle Risk Factors for Breast Cancer,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,"Many Challenges, Many Opportunities: Cancer Prevention in Patients With Multiple Risk Factors",0,0,615,Ignore
Involving Genetics From the Bench to the Surgical Suite in Sarcomas,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Translating the Genetics and Epigenetics of Sarcoma for the Clinician,0,0,616,Ignore
Where Are We Now? Induction Strategies for Primary CNS Lymphoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Evolving Treatments for Primary Central Nervous System Lymphoma: A New Horizon?,0,0,617,Ignore
Presentation of the 2019 Gianni Bonadonna Breast Cancer Award,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Gianni Bonadonna Breast Cancer Award and Lecture,0,0,618,Ignore
Neoadjuvant Therapy: Should Medical Oncologists Go First?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gastrointestinal (Colorectal) Cancer,0,0,619,Ignore
Chronic leukemias: From start to finish.,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Hematologic MalignanciesLeukemia, Myelodysplastic Syndromes, and Allotransplant",0,0,620,Ignore
ENZA-mining: Resistance and Combination Therapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Prostate) Cancer,0,0,621,Ignore
How Much Is Too Much? Achieving a Balance in Treatment Intensity,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,622,Ignore
"Therapy for Recurrent/Metastatic HNSCC: One Step Forward, Two Steps Back",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Head and Neck Cancer,0,0,623,Ignore
Recognizing Value When You See It,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Health Services Research, Clinical Informatics, and Quality of Care",0,0,624,Ignore
Circulating Biomarkers: It's in the Blood,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,625,Ignore
Tyrosine Kinase Inhibition: Are We Making Progress?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,626,Ignore
Analysis of the Tumor Microenvironment to Guide Immunotherapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Next-Generation Therapeutics and Biomarkers in Melanoma,0,0,627,Ignore
Adjuvant Targeted Therapy: When Is More Better?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Targeting Breast Cancer: Breaking the Code,0,0,628,Ignore
"Adjuvant Therapy: Maximizing Benefit, Minimizing Toxicity, Getting Answers Sooner",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gastrointestinal (Colorectal) Cancer,0,0,629,Ignore
Precision Testing and Precision Medicine,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,630,Ignore
Genomic and Pathologic Considerations in Sarcoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,631,Ignore
"AML: Disease risk factors, biology, and treatment.",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Hematologic MalignanciesLeukemia, Myelodysplastic Syndromes, and Allotransplant",0,0,632,Ignore
Toward the Future of Noninvasive Monitoring of Response to Targeted Therapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Next-Generation Therapeutics and Biomarkers in Melanoma,0,0,633,Ignore
Relapsed SCLC: New Cytotoxic Strategies,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,0,0,634,Ignore
Beyond ER: Unraveling CDK4/6 Resistance,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Targeting Breast Cancer: Breaking the Code,0,0,635,Ignore
Targeting Cell Death and Epigenetic Pathways,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,636,Ignore
Building the Evidence for Immunotherapy in Sarcoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,637,Ignore
Moderator: Panel Discussion on the New Alternative Maintenance of Certification Pathway,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ABIM/MOC Oncology Learning and Assessment: The New Alternative MOC Pathway,0,0,638,Ignore
GITR as an Emerging Novel Checkpoint in Immunotherapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Next-Generation Therapeutics and Biomarkers in Melanoma,0,0,639,Ignore
Clinical Trials and Their Application: Should We Believe What We Read?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Allen S. Lichter Visionary Leader Award and Lecture,0,0,640,Ignore
Private Practice Genitourinary Medical Oncology Specialist,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Updated Approaches to Treatment Sequencing in the Era of M0CRPC Approvals,0,0,641,Ignore
Presentation of the 2019 Allen S. Lichter Visionary Leader Award,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Allen S. Lichter Visionary Leader Award and Lecture,0,0,642,Ignore
Next-Generation ADC Platforms and Combinations,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,643,Ignore
Breaking New Ground in Bone Sarcoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,644,Ignore
Discussion Moderator,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO Town Hall: Drug Pricing,0,0,645,Ignore
American Board of Internal Medicine/ASCO Medical Oncology Learning and Assessment: The New Alternative Maintenance of Certification Pathway,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ABIM/MOC Oncology Learning and Assessment: The New Alternative MOC Pathway,0,0,646,Ignore
"Neoadjuvant Immunotherapy: Why, How, When?",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,0,0,647,Ignore
Novel Combinations With Distinct Mechanisms of Action,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Immunotherapy and Tumor Immunobiology,0,0,648,Ignore
"Early Interventions to Support Patients, Parents, and Survivors",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pediatric Oncology,0,0,649,Ignore
Challenges to Access in the United States,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO/European Society for Medical Oncology (ESMO) Joint Session: Global Access to Essential Medicines,0,0,650,Ignore
New Directions for Cellular Therapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Immunotherapy and Tumor Immunobiology,0,0,651,Ignore
Novel Combination Agents Trials Targeting Metabolism,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Where Are We With Cancer Drugs Targeting Metabolism in Solid Tumors?,0,0,652,Ignore
Fast and Furious Cars: Looking Ahead to Next-Generation Treatments and New Combinations,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Driving CARs in Aggressive Lymphoma,0,0,653,Ignore
Surveillance Following Colon Cancer Surgery: What Does the Data Say?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Translating IDEA to Practice and Beyond: How Should Stage II and III Colon Cancer Be Managed in 2019?,0,0,654,Ignore
Implementing Effective Weight Management and Physical Activity Throughout the Breast Cancer Care Continuum,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Furthering Fitness: Implementing Wellness to Improve Breast Cancer Outcomes,0,0,655,Ignore
New Genes Implicated in Triple-Negative Breast Cancer Risk,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,The Expanding Phenotype of Cancer Predisposition Syndromes,0,0,656,Ignore
Patient Heroics in Trial-Finding,0,01-06-2019,0,0,0,0,0,0,0,0,0,1,0,Biden Cancer Initiative Colloquium: Clinical Trial Enrollment  Breaking the 5% Barrier Once and For All,0,0,657,Medium
"Patients, Agents, and Combinations",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,0,0,658,Ignore
ESMO's Emerging Perspective,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO/European Society for Medical Oncology (ESMO) Joint Session: Global Access to Essential Medicines,0,0,659,Ignore
Investigating Pediatric Solid Tumors: From Single Institution to International Collaboration,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pediatric Oncology,0,0,660,Ignore
Safe and Effective Opioid Prescribing for Patients Receiving Cancer-Directed Therapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Effective Cancer Pain Management in an Era of Opioid Aberrancy,0,0,661,Ignore
The Evolving Role of Biomarkers in Immune Checkpoint Inhibition,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Immunotherapy and Tumor Immunobiology,0,0,662,Ignore
Novel Metabolic Agents in Solid Tumors,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Where Are We With Cancer Drugs Targeting Metabolism in Solid Tumors?,0,0,663,Ignore
So Many Cars: Which One Do You Drive?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Driving CARs in Aggressive Lymphoma,0,0,664,Ignore
Lessons From IDEA: Duration in Stage II and III Colon Cancer,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Translating IDEA to Practice and Beyond: How Should Stage II and III Colon Cancer Be Managed in 2019?,0,0,665,Ignore
BWEL and Beyond: Examining the Diet and Exercise Interventions on Reducing Breast Cancer Recurrences,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Furthering Fitness: Implementing Wellness to Improve Breast Cancer Outcomes,0,0,666,Ignore
The Role of <em>BRCA</em> Testing in Hereditary Prostate and Pancreatic Cancer Families,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,The Expanding Phenotype of Cancer Predisposition Syndromes,0,0,667,Ignore
Drug Pricing in the United States,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO/European Society for Medical Oncology (ESMO) Joint Session: Global Access to Essential Medicines,0,0,668,Ignore
Effectively Advocating for Your Patients With Cancer Pain,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Effective Cancer Pain Management in an Era of Opioid Aberrancy,0,0,669,Ignore
Discovering Therapeutic Metabolic Targets in Solid Tumors,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Where Are We With Cancer Drugs Targeting Metabolism in Solid Tumors?,0,0,670,Ignore
What Is Working in Clinical Trial Recruitment? - Panel Moderator,0,01-06-2019,0,0,0,0,0,0,0,0,0,1,0,Biden Cancer Initiative Colloquium: Clinical Trial Enrollment  Breaking the 5% Barrier Once and For All,0,0,671,Medium
Driving Forces in Patient Selection for CAR T-Cell Therapy in Aggressive Lymphoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Driving CARs in Aggressive Lymphoma,0,0,672,Ignore
Decision-Making for Stage II Colon Cancer: To Treat or Not to Treat?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Translating IDEA to Practice and Beyond: How Should Stage II and III Colon Cancer Be Managed in 2019?,0,0,673,Ignore
Global Access to Essential Medicines,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO/European Society for Medical Oncology (ESMO) Joint Session: Global Access to Essential Medicines,0,0,674,Ignore
Impact of Body Mass Index Reduction in Primary Breast Cancer Prevention,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Furthering Fitness: Implementing Wellness to Improve Breast Cancer Outcomes,0,0,675,Ignore
Lynch Syndrome: More Than Hereditary (Nonpolyposis) Colorectal Cancer,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Expanding Phenotype of Cancer Predisposition Syndromes,0,0,676,Ignore
Seeking Balance in Prescribing Opioids in Oncology,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Effective Cancer Pain Management in an Era of Opioid Aberrancy,0,0,677,Ignore
Advances in Immune Checkpoint Inhibition,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Immunotherapy and Tumor Immunobiology,0,0,678,Ignore
Precision Medicine in the Era of Patient-Centered Care,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pediatric Oncology,0,0,679,Ignore
Moderator,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Establishing a Mutually Respectful Environment in the Workplace,0,0,680,Ignore
Welcome and Introductions,0,01-06-2019,0,0,0,0,0,0,0,0,0,1,0,Biden Cancer Initiative Colloquium: Clinical Trial Enrollment  Breaking the 5% Barrier Once and For All,0,0,681,Medium
The Obligation of the Cured,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO Voices,0,0,682,Ignore
Doing Everything,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO Voices,0,0,683,Ignore
I Promised,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO Voices,0,0,684,Ignore
Whose Breast Is It Anyway? Breast Cancer and Sexuality in Sub-Saharan Africa,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,ASCO Voices,0,0,685,Ignore
Surgery Is Never Elegant When Women Are in the Operating Room,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,ASCO Voices,0,0,686,Ignore
Breast Cancer: 40 Years of Research and Progress,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,"Opening Session With Fellows of the American Society of Clinical Oncology, Guest Speaker's Address, Presidential Address, and David A. Karnofsky Memorial Award and Lecture",0,0,687,Ignore
President's Address,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Opening Session With Fellows of the American Society of Clinical Oncology, Guest Speaker's Address, Presidential Address, and David A. Karnofsky Memorial Award and Lecture",0,0,688,Ignore
Chemoboy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Opening Session With Fellows of the American Society of Clinical Oncology, Guest Speaker's Address, Presidential Address, and David A. Karnofsky Memorial Award and Lecture",0,0,689,Ignore
Rise of the Machines,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Harnessing Technology in Symptoms and Survivorship,0,0,690,Ignore
Learning From Patients Treated With Immunotherapy: Molecular Markers of Benefit and Resistance,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Fine-Tuning Checkpoint Inhibition: Biomarkers of Response and Resistance,0,0,691,Ignore
To Infinity and Beyond: The Future of Immunotherapy in Gynecologic Malignancies,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pharma to Table: What's New in Gynecologic Oncology,0,0,692,Ignore
Is There One Answer to Correct Frontline Therapy?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Stage IV Melanoma Consult in 2019: What Biomarkers and Treatments Are Appropriate in the Frontline Setting?,0,0,693,Ignore
Whats the Role for Immunotherapy With and Without Chemotherapy in Oncogene Mutated NSCLC?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sequencing Agents in the EGFR-Mutated/ALK-Rearranged Populations,0,0,694,Ignore
Systemic Therapy for Anal Squamous Cell Carcinoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Management and Prevention of Anal Squamous Cell Carcinoma,0,0,695,Ignore
Tools to Improve Delivery of Genetic Testing in Low-Income Populations,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Outside the Box: A Practical Guide to Providing Genetic Services by Alternative Models,0,0,696,Ignore
The Role of Adjuvant Radiotherapy in Management of Nodal Disease,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,697,Ignore
Professional Opportunities after Practice,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Continued Professional Engagement and Personal Fulfillment for Clinicians After Full-Time Practice,0,0,698,Ignore
"Chip, CCUS, IDUS, and Other Acronyms: Definition, Implications, and Impact on Practice",0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Approaching Clonal Hematopoiesis: Can You Be Too Precise?,0,0,699,Ignore
Rebuttal: Complete Axillary Nodal Dissection Is Indicated for All Patients With Positive Nodes Prior to Neoadjuvant Systemic Therapy  No,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,700,Ignore
Rebuttal: Complete Axillary Nodal Dissection Is Indicated for All Patients With Positive Nodes Prior to Neoadjuvant Systemic TherapyYes,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,701,Ignore
Response Prediction and Signatures for Immunotherapy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pharma to Table: What's New in Gynecologic Oncology,0,0,702,Ignore
Debate: Immunotherapy Targeted Therapy Versus Immunotherapy Sequencing  Immunotherapy Sequencing Should Be Frontline,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Stage IV Melanoma Consult in 2019: What Biomarkers and Treatments Are Appropriate in the Frontline Setting?,0,0,703,Ignore
Sequencing the <em>ALK</em> Tyrosine Kinase Inhibitors,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sequencing Agents in the EGFR-Mutated/ALK-Rearranged Populations,0,0,704,Ignore
Evaluation for Genetic Risk of Breast Cancer in Mammography Centers,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Outside the Box: A Practical Guide to Providing Genetic Services by Alternative Models,0,0,705,Ignore
Molecular Landscape of Cytopenias: Implications for Diagnosis and Prognostication,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Approaching Clonal Hematopoiesis: Can You Be Too Precise?,0,0,706,Ignore
Transitions in the Life of a Community Oncologist,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Continued Professional Engagement and Personal Fulfillment for Clinicians After Full-Time Practice,0,0,707,Ignore
Initial Argument: Complete Axillary Nodal Dissection Is Indicated for All Patients With Positive Nodes Prior to Neoadjuvant Systemic Therapy  No,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,708,Ignore
Recognizing and Managing Immune Related Toxicities,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pharma to Table: What's New in Gynecologic Oncology,0,0,709,Ignore
Debate: Immunotherapy Targeted Therapy Versus Immunotherapy Sequencing  Immunotherapy Targeted Therapy Should Be Frontline,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Stage IV Melanoma Consult in 2019: What Biomarkers and Treatments Are Appropriate in the Frontline Setting?,0,0,710,Ignore
New Options for EGFR Exon 20 and HER2 Mutations,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sequencing Agents in the EGFR-Mutated/ALK-Rearranged Populations,0,0,711,Ignore
Telemedicine in Genetics,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Outside the Box: A Practical Guide to Providing Genetic Services by Alternative Models,0,0,712,Ignore
Treatment for Localized Anal Squamous Cell Carcinoma,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Management and Prevention of Anal Squamous Cell Carcinoma,0,0,713,Ignore
Initial Argument: Complete Axillary Nodal Dissection Is Indicated for All Patients With Positive Nodes Prior to Neoadjuvant Systemic Therapy  Yes,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,714,Ignore
Trends in Oncologist Employment and Retirement: Considering the Possibilities,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Continued Professional Engagement and Personal Fulfillment for Clinicians After Full-Time Practice,0,0,715,Ignore
Immunotherapy in Gynecologic Malignancies: What have we learned to date?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pharma to Table: What's New in Gynecologic Oncology,0,0,716,Ignore
PD-L1 Testing: Is It Needed to Decide an Immunotherapy Treatment Plan?,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Stage IV Melanoma Consult in 2019: What Biomarkers and Treatments Are Appropriate in the Frontline Setting?,0,0,717,Ignore
Moderator/Panelist,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Pediatric Molecular Tumor Board: Determining the Right Therapy for the Right Patients,0,0,718,Ignore
Whats New with Therapies for EGFR-Sensitive Mutations,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sequencing Agents in the EGFR-Mutated/ALK-Rearranged Populations,0,0,719,Ignore
Models of Genetic Counseling and Testing in Community Practices,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Outside the Box: A Practical Guide to Providing Genetic Services by Alternative Models,0,0,720,Ignore
When You Least Expect It: Clonal Hematopoiesis as an Incidental Finding,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Approaching Clonal Hematopoiesis: Can You Be Too Precise?,0,0,721,Ignore
Introduction,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,1,Debate: Breast Cancer Axillary Management of Nodal Disease in the Neoadjuvant Era: Less Is More or More or Less the Same?,0,0,722,Ignore
Curable in Squamous Cell Carcinoma of the Head and Neck Doesnt Necessarily Mean Easy,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Head and Neck Multidisciplinary Tumor Board: Bread-and-Butter Cases Made Challenging by the New Staging System,0,0,723,Ignore
Cancer Prevention Through Human Papillomavirus Vaccination,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,The Management and Prevention of Anal Squamous Cell Carcinoma,0,0,724,Ignore
Division Culture and Change Management,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Oncology Division Chiefs and Department Chairs Breakfast,0,0,725,Ignore
Finances and Compensation Plans,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Oncology Division Chiefs and Department Chairs Breakfast,0,0,726,Ignore
Growing Your Academic Enterprise,0,01-06-2019,0,0,0,0,0,0,0,0,0,0,0,Oncology Division Chiefs and Department Chairs Breakfast,0,0,727,Ignore
Androgen Targeted Therapy: Is More Better?,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Prostate) Cancer,0,0,728,Ignore
Disparities: Measurement to Action,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"Health Services Research, Clinical Informatics, and Quality of Care",0,0,729,Ignore
Preventing Relapse in ALL by Optimizing Chemotherapy Exposure,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,Pediatric Oncology I,0,0,730,Ignore
What Is New in DNA Damage Response,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,DDR: The DNA Damaging Revolution,0,0,731,Ignore
Rules of Engagement: Regulatory Guidelines when Using Social Media in Healthcare,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"Tweets, Chats, and Posts: Using Social Media to Transcend Boundaries and Create Opportunities for Patients",0,0,732,Ignore
Barriers to CAR T-Cell Treatment in the Community,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"The Other Side of CAR T-Cell Therapy: Cytokine Release Syndrome, Neurologic Toxicity, and Financial Burden",0,0,733,Ignore
Novel DNA Damage Response Modulators in the Clinic Today: Is the Hype Worthy of the Hope?,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,DDR: The DNA Damaging Revolution,0,0,734,Ignore
Three Ways That Less May Be More: Deintensifying Surgery,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,Head and Neck Cancer,0,0,735,Ignore
The Patient Perspective: Improving Patient Engagement in Clinical Trials and Research,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"Tweets, Chats, and Posts: Using Social Media to Transcend Boundaries and Create Opportunities for Patients",0,0,736,Ignore
"Neurotoxicity From CAR T-Cell Therapy: Why It Happens, How to Manage It, and Who Is at Risk?",0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"The Other Side of CAR T-Cell Therapy: Cytokine Release Syndrome, Neurologic Toxicity, and Financial Burden",0,0,737,Ignore
Partners With PARP?,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,DDR: The DNA Damaging Revolution,0,0,738,Ignore
Costs Matter: Strategies for Success,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"Health Services Research, Clinical Informatics, and Quality of Care",0,0,739,Ignore
"The Metastatic Breast Cancer Project: Engaging Patients, Advancing Research",0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,"Tweets, Chats, and Posts: Using Social Media to Transcend Boundaries and Create Opportunities for Patients",0,0,740,Ignore
Case 4: Managing Immune-Related Adverse Events in the Fragile Diabetic Patient,0,31-05-2019,0,0,0,0,0,0,0,0,0,0,0,Challenges in Use of Immunotherapy in NonSmall Cell Lung Cancer: Where the Rubber Meets the Road,0,0,741,Ignore
