Abstract_Title,Session_Title,Date,Relevance,Priority
"A phase I/II trial of VX15/2503 in children, adolescents, and young adults with relapsed or refractory solid tumors (ADVL1614).",Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
Late cholecystectomy in survivors of childhood cancer: A report from the Childhood Cancer Survivor Study.,Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
Pediatric Cancer Registry in Turkey 2009-2018 (TPOG & TPHD).,Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
Evaluation of outcome and prognostic factors in paediatric extraskeletal ewings sarcoma: A single institution experience.,Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
Sedation practices in pediatric ALL patients.,Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
Parental insights into phase I pediatric oncology clinical trials: Findings from a phenomenological study.,Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
A novel approach to neoadjuvant chemoradiation for soft tissue sarcoma using cisplatin and adriamycin.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Efficacy and safety of anlotinib in advanced soft tissue sarcoma: results from one of multi-centers in a phase IIB trial (ALTER0203).,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
"Clinical presentation, natural history and therapeutic approach in patients with solitary fibrous tumor: A retrospective analysis.",Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Exploring ceramide metabolism as a potential target in dedifferentiated liposarcoma.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Chemotherapy combined with antiangiogenesis drugs in stage IV sarcoma patients: Efficacy data from the largest cohort study from China.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Clinicopathological prognostic and predictive factors of malignant peripheral nerve sheath tumors (MPNST) survival and treatment efficacy.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
The phase Ib result of the safety and efficacy of lenvatinib (lenv) plus eribulin (eri) in advanced adipocytic sarcoma (LPS) and leiomyosarcoma (LMS): LEADER study (NCT03526679).,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Copy number variations of apoptosis-regulating genes and MKI67 gene in primary and recurrent soft tissues sarcomas.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Antitumor activity of pazopanib (P) and trametinib (T) in preclinical models of osteosarcoma (OS).,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Treatment of soft tissue sarcoma with a novel cold plasma jet.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Angiosarcoma treated with checkpoint inhibitors: A single-institution experience.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Survival outcomes following cytoreductive nephrectomy (CN) in patients with metastatic renal cell sarcomas (MRCS).,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Apatinib for epithelioid sarcoma: analysis on eight advanced stage cases in a single institute.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
The long term surgical outcome of spinal giant cell tumor.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Work productivity loss in patients with tenosynovial giant cell tumors in the United States.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Outcome of patients with refractory malignant peripheral nerve sheath tumors (MPNST) enrolled on phase 2 trials.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Prevalence of symptom clusters among sarcoma patients in active treatment.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
A novel <em>HMGA2-YAP1 </em>fusion gene in a patient with aggressive angiomyxoma.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Incidence and prevalence of synovial sarcoma in the US: An analysis using SEER*Stat.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Activity of chemotherapy in inflammatory myofibroblastic tumor (IMT): A retrospective analysis within the Italian Rare Tumours Network (RTR).,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Renal Ewing's sarcoma: A single institute experience of seven patients.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Olaratumab plus anthracyline in advanced/metastatic soft tissue sarcoma: Data of real-world utilization in Austria.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Outcomes of advanced angiosarcoma and hemangioendothelioma on propranolol based regimens from sarcoma medical oncology clinic in North India.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
Clinical benefit of next generation sequencing in soft tissue and bone sarcoma: Rush University Medical Centers experience.,Sarcoma: Publication Only,"May 31, 2019",0,Not Relevant
"Effective targeted antitumor activity of the antimicrobial agent taurolidine against relapsed/refractory neuroblastoma: Cytotoxicity, target modulation and tumor xenograft studies.",Pediatric Oncology: Publication Only,"May 31, 2019",0,Not Relevant
What type of information is needed by AYA cancer survivors in Japan?,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The ideal amount of physical activity to improve quality of life and symptoms in lung cancer patients: A systematic review.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Utilizing the patient-reported outcomes measurement information system (PROMIS) to assess quality of life among breast cancer patients at an academic center.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Needs assessment for sexual health support following cancer diagnosis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Effectiveness and safety of ferric carboxymaltose to treat iron deficiency anemia in cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Treatment approaches and survival outcomes of older patients with locally advanced esophageal cancer (LAEC) in Ireland.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Study on influencing factors and survival analysis of patients with malignant tumors treated by music therapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Delphi consensus on the follow-up of cancer patients with breakthrough pain under opioid treatment.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Propensity score matching analysis of the survival outcome and toxicity of different treatment modalities for the elderly nasopharyngeal carcinoma patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Long-term symptom burden and quality of life in metastatic melanoma patients treated with checkpoint inhibitors.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
A pilot study of oncology massage to treat chemotherapy-induced peripheral neuropathy (CIPN).,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Place of death and chemotherapy use at the end of life in colorectal cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Clinical course of patients with cisplatin (CDDP)-associated neuropathy compared to other neurotoxic chemotherapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Clinical outcomes of manual aspiration thrombectomy for Ilio-femoral venous thrombosis in cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The effect of <em>sukshma vyayama</em> joint loosening yoga on aromatase inhibitor-induced arthralgia (AI) in breast cancer patients: A feasibility study conducted on Facebook.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"A double-blind, placebo-controlled randomized phase II study: Evaluating the effect of curcumin for treatment of cancer anorexia-cachexia syndrome in solid cancer patients.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Neutrophil to lymphocyte ratio =4 correlates with 6-month postoperative mortality in cancer patients age >75.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The effect of a structured weekly patient meeting on patient reported outcomes (PRO) and resource utilization for patients with metastatic breast cancer (MBC).,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
How often do metastatic brain disease patients prescribed ten fractions of whole brain radiation therapy die without completing treatment?,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Annual lung cancer screening by chest x-ray results in higher profits for the exclusion of lung cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Spiritual and psychological distress in older and the oldest-old living with advanced cancer patients (O-OOAdCa) in a comprehensive cancer center.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Fast time estimation to predict levels of anxiety in cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Mortality results from an oral oncolytic symptom management trial.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The efficacy of placebo for the treatment of cancer-related fatigue: A systematic review and meta-analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Cancer patients: Assessing awareness, attitudes and claimed behavior around key decision points upon being diagnosed.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Direct oral factor Xa inhibitors for the treatment of acute cancer-associated venous thromboembolism: A systematic review and network meta-analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Randomized phase II study comparing mannitol with furosemide for the prevention of cisplatin-induced renal toxicity in advanced non-small cell lung cancer: The OLCSG1406 trial.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Dealing with emotional states during cancer diagnosis and treatment by using cognitive strategies in oncology patients: Comparison to noncancer population.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Unpacking clinical trial offers: A qualitative analysis of interactions with physicians and patients potentially eligible for a prostate cancer trial.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Identifying psychosocial distress in cancer patients in a community center.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Endocrine therapy discontinuation rates in older women with early stage breast cancer who are candidates for omission of radiation.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Acupuncture: Real-world patient-reported outcomes of treatment-related symptoms in breast cancer survivors.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Assessing quality of life (QoL) of patients and their caregivers on phase I clinical trials.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Long-term neurotoxicity in women with breast cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Chair,Genomics for Oncologists 101,"May 31, 2019",0,Not Relevant
Workshop Chair,Enhancing Cultural Literacy in Oncology: Strategies for Delivery of High-Quality Cancer Care,"May 31, 2019",0,Not Relevant
Chair,Hyper-Progression: Myth or Reality?,"May 31, 2019",0,Not Relevant
Chair,A Conversation on Innovation and Incentives,"May 31, 2019",0,Not Relevant
Chair,Genomics for Oncologists 101,"May 31, 2019",0,Not Relevant
Chair,How to Initiate and Integrate Clinical Trials Into Your Practice,"May 31, 2019",0,Not Relevant
Chair,Managing Immune Toxicities: A Case-Based Discussion with Experts,"May 31, 2019",0,Not Relevant
Chemotherapy and trastuzumab-induced cardiotoxicity in geriatric breast cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Comparative analysis of molecular aberration in different genders for identification of key pathways in hepatocellular carcinoma.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Is cancer associated thrombosis (CAT) an underestimated issue in oncology clinical practice? Real-world data regarding long term management of CAT.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Understanding patient advance directives status in a community oncology practice using an electronic patient-reported outcomes (ePRO) system.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Risk factors in pregnant women with an oncological diagnosis and their impact in the post-partum period.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Estimating survival time in older adults receiving chemotherapy for advanced cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Knowledge and attitudes of permanent chemotherapy-induced alopecia among health care providers.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Breast cancer patients quality of life: Real-world data.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
One-minute time interval estimation as a novel potent indicator of need for help in cancer patients prior to starting chemotherapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Elderly patients have limited access to systemic therapy for metastatic renal cell carcinoma (mRCC) and shorter overall survival in Russia, Belarus and Kazakhstan.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Therapy preference scale: A novel questionnaire to understand patients preferences of cancer treatment.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Implementing strain imaging to identify early childhood cancer survivors at risk for cardiovascular disease.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Differences in quality of life and emotional health by diagnosis among women with early-stage gynecological cancers.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Validation of G8 and its acuracy as a predictor of object in oncological patients with age of = 60 YEARS. prospective cohort of 889 brazilian elderly cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Development of a comprehensive prognostic model of lymphedema risk for breast cancer survivors.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Competing causes of death in patients with neuroendocrine tumor.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Preliminary result of phase II study of megestrol combined with 5-hydroxytryptamine 3 inhibitor and dexamethasone for the prevention of nausea and vomiting induced by high emetogenic chemotherapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Perceptions of medical status and treatment goal in older adults with advanced cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Effect of pre-treatment anxiety and depression on long term survival of prostate cancer patients treated radically with radiation and hormone therapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Depression and health care utilization and costs in patients diagnosed with cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Patient perceptions of treatment benefit in advanced cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Efficacy of different TCM treatment techniques combined with standardized step therapy for cancer pain: A network.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Incidence of Infection-related mortality in cancer patients: Trend and survival analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Novel smartphone app for daily symptom reporting for active chemotherapy patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Use of remote symptom monitoring with breast cancer survivors using patient-reported outcome (PRO) measures in MyChart.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Tumor mutation burden and depression in lung cancer: Association with inflammation.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Implementation of the VA Symptom Assessment Scale (VSAS): Five-year experience.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The efficacy and safety of exercise in metastatic solid cancer: A meta-analysis of randomized control trials.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Effect of free amino acids mix with medium triglycerides and Withania somnifera on cancer cachexia.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Impact of high-dose vitamin d supplementation on short physical performance battery and bioelectrical impedance analysis in older patients with prostate cancer on ADT.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Real-time detection of patient-reported outcomes (PRO) through an app: A Brazilian experience.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Evaluation of mental and social adaptation of patients with breast cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Severity, implications, and understanding of cancer related fatigue in cancer survivors of South Asian ethnicity.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
iMETX (Individualized Metabolic RX): An environmental intervention to increase energy expenditure in breast cancer survivors.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Empowering lung cancer survivors and family members to breathe easier: Adaptation and evaluation of a m-health intervention.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Systematic review and meta-analysis of definitions and reported incidences of anthracycline cardiotoxicity.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Patient-reported outcomes for dental health, shoulder-neck dysfunction, and overall quality of life after treatment with radiation for head and neck cancer.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Detection of bone metastases through diffusion-weighted whole-body imaging with background body signal suppression (DWIBS) compared with PET/CT <sup>18</sup>F-NaF.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Implementing a web-based patient reported outcomes (PRO) assessment: Uptake, usability, and lessons learned.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The impact of blinding on patient-reported outcomes (PROs) in randomized controlled trials of immune checkpoint inhibitors versus traditional chemotherapies.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Risk of secondary hematologic malignancies and tolerability in patients with ovarian cancer treated with PARP inhibitors: A systematic review and meta-analysis of four phase III randomized controlled trials.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Implementation of a brief screening tool to identify needs of cancer survivors.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Investigation of the efficacy of imidazolyl ethanamide pentandioic acid (IEPA) to reduce chemotherapy-induced myelosuppression (CIM) in breast cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Medical cannabis in cancer patients: Prevalence, efficacy, and safety.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Patient experience of an intervention combining nurse navigators and e-Health technologies for use of oral anticancer agents.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Risk factors of psychological distress and quality of life in lung cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The effects of wheatgrass juice administration in colon cancer patients during adjuvant chemotherapy and the treatment reflection on the extracellular vesicles.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Ondansetron versus palonosetron as a marker of non-adherence to antiemetic prophylaxis guidelines in highly emetogenic chemotherapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Non-invasive assessment of chemotherapy-induced peripheral neuropathy using neuromuscular ultrasound in breast cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Comprehensive geriatric assessment prior to autologous stem cell transplant as a predictor of patient outcomes: A retrospective review.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"Psycho-Oncology: Cancer patients with past suicide attempts, or a family history of suicide.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Percutaneous pericardiocentesis versus pericardial window: A retrospective subset analysis in a cancer population.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
A prospective study of the impact of chemotherapy-related toxicities on the quality of life in elderly patients with cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Evaluation of readmission rates for gastrointestinal bleeds in high risk oncologic patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Association of the quality of psychosocial support and quality of life in patients with chronic oncological pain.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Bridging the information gap: A scoping review of radiation oncology patient education scholarship.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The comprehensive geriatric assessment in malignancies and prognostic factors: Description of a prospective cohort of 889 Brazilian elderly cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Exercise trends among previously non-exercising breast cancer survivors: Analysis of an ethnically diverse sample.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Impact of cisplatin-related hearing loss (HL) and tinnitus on patient functioning.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Tobacco cessation practices among primary care physicians in northern Illinois.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
A community oncology end-of-life care program: Results for hospice length of stay analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Is in vivo reflectance confocal microscopy a useful assessment tool in chemotherapy-induced peripheral neuropathy (CIPN)?,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
"A large multicenter, randomized, double-blind, crossover study in healthy volunteers, comparing pharmacokinetics and pharmacodynamics of Sandoz proposed biosimilar pegfilgrastim with European and United States reference pegfilgrastim.",Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Neighborhood effects and obesity in adult survivors of pediatric cancer: A report from the St. Jude Lifetime Cohort Study.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
National society-supplied patient materials on prostate cancer screening for the general public: A readability analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Pilot study investigating an oncofertility program in adults with breast or sarcoma cancers.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Recommendations from clinical practice guidelines on discussion of costs of care in adult patients with advanced cancer: A systematic review.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Development of the patient-reported outcomes (PRO) based survival prediction model for survivors who underwent lung cancer surgery.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Teleoncology: Prospects and challenges for cost effective cancer care.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Cutaneous eruption as a prognosis indicator for cancer patients treated with EGFR tyrosine kinase inhibitors: A systematic review and meta-analysis.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
The development of an instrument to identify cancer caregivers at risk for metabolic syndrome.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Experiences of general practitioners and medical specialists with incurable cancer patients with a protracted disease trajectory: A focus group study.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Modeling causal associations between frailty components and mortality in older patients with cancer: A structural equation approach.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Coping with end-of-life stress (EOLS): Poetry as a therapeutic communication intervention.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Mindfulness and concerns about adjuvant endocrine therapy (AET).,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Unscheduled hospitalization in advanced cancer patients: Time to rethink about the illness.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Predictors of anxiety and depression risk among individuals with lung cancer.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Effect of fractures on overall survival in cancer patients: The NHANES database.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Evaluation of the diagnostic and prognostic performance of the modified G8 screening instrument in oncological patients with age of 60 YEARS or age: Prospective cohort of 889 Brazilian elderly cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Mobile text messaging to improve adjuvant hormone therapy and side effect management among breast cancer patients: A pilot RCT.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Genetic variability of tramadol pharmacokinetic genes and pain treatment outcome after breast cancer surgery.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Demoralization and associated features in an Italian sample of end-of-life cancer patients.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Treatment and outcome of elderly patients with PCNSL: A Beaumont experience.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Contraception and fertility counseling in patients receiving chemotherapy.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Defining undertreatment and overtreatment in older patients with cancer: A scoping review of the literature.,Symptoms and Survivorship: Publication Only,"May 31, 2019",0,Not Relevant
Decreasing BMI/weight immediately prior to starting anti-PD-1/PDL-1 monoclonal antibodies for treatment for stage IV non-small cell lung cancer is associated with shorter progression-free survival.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Pembrolizumab (Pem) for advanced non-small cell lung cancer (aNSCLC): Efficacy and safety in everyday clinical practice.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Using single cell genomics to change the treatment of lung cancer.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Association of allele frequency of <em>EGFR</em> mutation with efficacy of <em> EGFR</em> TKIs in advanced non-small cell lung cancer.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Analysis of real-world data (RWD) on treatment (tx) sequencing in patients with advanced non-small cell lung cancer (aNSCLC).,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Understanding biological driver mutations and mechanism of resistance to EGFR-tyrosine kinase inhibitors in lung cancer patients using a novel translational platform.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Effect of body mass index and age on survival in patients with advanced lung cancer treated with anti-PD-1 immune checkpoint inhibitors.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Comprehensive genomic profiling identifies novel genetic predictors of response to anti-PD-(L)1 therapies in NSCLC.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Overall survival in PEMVITASTART randomized trial comparing immediate vs. conventional strategies of vitamin supplementation in NSCLC patients on 1<sup>st</sup> line pemetrexed-platinum chemotherapy.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Using a multiplexed immunofluorescence approach to compare immune cell populations in subtypes of non-small cell lung cancer.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Chemoimmunotherapy combination: Potential option for metastatic NSCLC patients with EGFR mutation resistant to osimertinib.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Phase Ib study of sintilimab in combination with chemotherapy for 1L advanced or metastatic non-small cell lung cancer (NSCLC).,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
"Activity of osimetrinib/AZD9291 in pretreated patients (pts) with epidermal growth factor receptor mutant (EGFRmt) non-small cell lung cancer (NSCLC), according to EGFR mutations detected in circulating plasma DNA (ctDNA).",Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Impact of cholesterolemia and body mass index on outcome of metastatic non small cell lung cancer treated with immunotherapy.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
BIOLUMA: A phase II trial of nivolumab in combination with ipilimumab to evaluate efficacy and safety in lung cancer and to evaluate biomarkers predictive for responsePreliminary results from the NSCLC cohort.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
"Interim report on CIV recombinant human endostatin in combination with docetaxel/cisplatin (DP)) in comparison to DP in the first-line treatment of phase IIIb/IV squamous-cell NSCLC (JSLCG-001): A multicenter, open-label, randomized phase III controlled study (NCT: 02513342).",Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
"Adoption of immuno-oncology in NSCLC, a real-world study in EU5.",Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Clinical benefit of EGFR-TKIs plus radiotherapy for treating EGFR-mutated metastatic non-small cell lung cancer.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
PD-1/PD-L1 immunotherapy for advanced lung cancer: An electronic medical database based real world study in China.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
The HGF-MET signaling pathway is enriched in LUAC brain metastases.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Clinical outcomes of patients with or without common AEs in anlotinib cohort: Subgroup analysis of the ALTER0303 trial.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
Soluble biomarker signature to predict outcome of patients with non-small-cell lung cancer (NSCLC) treated with anti-PD1/PDL1 monoclonal antibodies.,Lung CancerNon-Small Cell Metastatic: Publication Only,"May 31, 2019",0,Not Relevant
