Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
"Adult Neuro-Handling Techniques...Concepts for Stabilization and Function (Mar, 2020)",Neurology,NA,0,United States of America,"Winchester, Virginia",28-03-2020,29-03-2020,495,1230000,1
Advanced ASP: Outpatient Care,Infectious Disease,NA,0,United States Of America,"Oakland, California",06-03-2020,NA,-,1740000,1
Advanced Cancer Therapies Course 2020,Oncology,NA,0,United States of America,"Orlando, Florida",15-02-2020,17-02-2020,575,38500000,1
"Advanced Cardiac Life Support (ACLS) by Northwest Anesthesia Seminars (NWAS) (Feb 05, 2020)",Cardiology,NA,0,United States of America,"Las Vegas, Nevada",05-02-2020,NA,-,183000,1
"Advanced Cardiac Life Support (ACLS) Certification Course (Feb 21 - 23, 2020)",Cardiology,NA,0,United States of America,"San Francisco, California",21-02-2020,23-02-2020,-,329000,1
"Advanced Cardiac Life Support Course (ACLS) HeartCode (online) - Richmond (Jan 10, 2020)",Cardiology,NA,0,United States of America,"Richmond, Virginia",10-01-2020,NA,-,5,1
"Advanced Cardiac Life Support Course (ACLS) Provider (2-day course) - Richmond (Jan 07 - 08, 2020)",Cardiology,NA,0,United States of America,"Richmond, Virginia",07-01-2020,08-01-2020,260,149000,1
"Advanced Cardio Life Support (ACLS) Provider Course (Apr 07 - 08, 2020)",Cardiology,NA,0,United States of America,"San Jose, California",07-04-2020,08-04-2020,280,679000,1
"Advanced Cardio Life Support Provider Course (ACLS) Provider Course (Jun 19 - 20, 2020)",Cardiology,NA,0,United States of America,"San Jose, California",19-06-2020,20-06-2020,280,1070000,1
"Advanced Cardiovascular Life Support (ACLS) Provider Course (Apr 14 - 16, 2020)",Cardiology,Cardiovascular,0,South Africa,"Johannesburg, Gauteng",14-04-2020,16-04-2020,-,1010000,0
"Advanced Cardiovascular Life Support for Experienced Providers (ACLS EP) Course (Apr 06 - 07, 2020)",Cardiology,Cardiovascular,0,South Africa,"Johannesburg, Gauteng",06-04-2020,07-04-2020,-,667000,0
"Advanced Clinical Reasoning for Pediatric Upper Extremity Conditions (Mar 28 - 29, 2020)",Musculoskeletal Disorders,NA,0,United States of America,"Marlton, New Jersey",28-03-2020,29-03-2020,-,733000,1
"Advanced Course Laparoscopic colo-rectal surgery (Oct 07 - 09, 2020)",Gastrointestinal,NA,0,Germany,"Berlin, Berlin",07-10-2020,09-10-2020,-,146000,1
"Advanced Course Laparoscopic Hernia Surgery (Jan 27 - 29, 2020)",Gastrointestinal,Hernia,0,Germany,"Tuttlingen, Baden-Wurttemberg",27-01-2020,29-01-2020,-,296000,1
Advanced Dynamic Anatomy: Bridging the Gap between Anatomy & Treatment - Des Moines,Neurology,NA,0,United States of America,"Des Moines, Iowa",08-02-2020,09-02-2020,575,11900000,1
Advanced Heart Failure Symposium 2020,Cardiology,NA,1,United States of America,"Philadelphia, Pennsylvania",20-03-2020,21-03-2020,-,3810000,1
Advanced Lumbar Bio-Skills Lab 2020,Musculoskeletal Disorders,NA,1,United States Of America,"Tampa, Florida",06-11-2020,08-11-2020,-,1060000,1
Advanced Ophthalmologic Practice (AOP) 2020 Congress,Ophthalmology,NA,0,France,"Paris, Ile-de-France",10-01-2020,11-01-2020,-,417000,1
Advanced Practice Providers (APP) Oncology Summit - Boston,Oncology,NA,0,United States of America,"Boston, Massachusetts",06-03-2020,07-03-2020,-,997000,1
Advanced Practice Providers Session by Chicago Urological Society (CUS),Genito Urinary System And Sex Hormones,NA,0,United States of America,"Chicago, Illinois",05-02-2020,NA,-,59700,1
Advanced Prostate Cancer Consensus Conference,Oncology,Prostate Cancer,0,NA,NA,NA,NA,-,2130000,0
Advances in Alzheimer's and Parkinson's Therapies An AAT-AD/PD‚Äövë¬¢ Focus Meeting 2020,Neurology,NA,0,Austria,"Vienna, Wien",02-04-2020,05-04-2020,-,5,1
Advances in Alzheimer‚ÄövÑv=s and Parkinson‚ÄövÑv=s Therapies ‚ÄövÑv¨ An AAT-AD/PD(TM) Focus Meeting,Neurology,NA,0,Austria,"Vienna, Wien",02-04-2020,06-04-2020,-,3,1
Advances in Brachial Plexus Reconstruction: A Surgical Skills Course 2020,Neurology,NA,0,United States of America,"Rochester, Minnesota",23-04-2020,25-04-2020,1900,42500,1
Advances in Breast Cancer Management 2020,Oncology,Breast Cancer,0,United States of America,"Ponte Vedra Beach, Florida",07-02-2020,08-02-2020,-,18200000,1
Advances in Breast Cancer Research 2020,Oncology,Breast Cancer,0,United States Of America,"San Diego, California",09-10-2020,12-10-2020,-,10600000,1
Advances in Cancer Immunotherapy (C4) 2020,Oncology,NA,0,Canada,"Whistler, British Columbia",22-03-2020,26-03-2020,1145,205000,0
Advances in Neuroblastoma Research Association (ANRA) Congress,Oncology,Neuroblastoma,0,Netherlands,"Amsterdam, Noord Holland",11-05-2020,14-05-2020,-,647,1
"Advances in Nuclear Cardiology, Cardiac CT and Cardiac MRI: 35th Annual Case Review with the Experts Conference",Cardiology,NA,0,United States of America,"Los Angeles, California",17-01-2020,19-01-2020,-,49100,1
AEC 4.5 Head and Neck oncology,Oncology,NA,0,United Kingdom,"Manchester, England",27-04-2020,28-04-2020,-,65100,1
AIDS 2020 23rd International AIDS Conference,Immunology,NA,0,United Kingdom,San Francisco‚ÄìOakland,06-07-2020,10-07-2020,-,1450000,1
AIOC 2020: 78th Annual Conference of All India Opthalmological Society,Ophthalmology,NA,0,India,"Gurugram, Haryana",13-02-2020,16-02-2020,-,1320,0
Alabama Cancer Congress (ACC) Spring Meeting,Oncology,NA,0,United States of America,"Gulf Shores, Alabama",03-04-2020,05-04-2020,-,2220000,1
Alabama Dermatology Society (ADS) 2020 Summer Symposium,Dermatology,Dermatology,0,United States of America,"Miramar Beach, Florida",18-06-2020,21-06-2020,-,861000,1
"Alcohol and the Nervous System by Gordon Research Conferences (Feb 29 - 01, 2020)",Neurology,NA,0,United States Of America,"Galveston, Texas",29-02-2020,01-03-2020,-,1930000,1
Allergic skin disease 2020 by Imperial College London,Dermatology,NA,0,United Kingdom,"London, England",01-06-2020,02-06-2020,-,1470000,1
"Allergy, Immunology, and Infectious Diseases",Infectious Disease,Immunology,0,United Kingdom,"Southampton, England",01-05-2020,09-05-2020,-,53400000,1
Alzheimer's Association International Conference (AAIC) 2020,Neurology,NA,0,Netherlands,"Amsterdam, Noord Holland",26-07-2020,30-07-2020,-,28700,1
American Academy of Clinical Neuropsychology (AACN) Annual Meeting 2020,Neurology,NA,1,United States Of America,"Washington, Dist Of Col",11-06-2020,13-06-2020,-,102000,1
American Academy of Cosmetic Surgery (AACS) 2020 Annual Scientific Meeting,Dermatology,NA,0,United States Of America,"Las Vegas, Nevada",27-02-2020,29-02-2020,1499,20700,1
American Academy of Dermatology (AAD) 2020 Summer Academy Meeting,Dermatology,Dermatology,0,United States Of America,"Seattle, Washington",13-08-2020,16-08-2020,-,42000,1
American Academy of Neurological and Orthopaedic Surgeons (AANOS) 44th Annual Scientific Meeting,Neurology,NA,0,United States of America,"Providence, Rhode Island",30-04-2020,02-05-2020,-,29100,1
American Academy of Ophthalmology (AAO) Annual Meeting 2020,Ophthalmology,Ophthalmology,0,United States Of America,"Las Vegas, Nevada",14-11-2020,17-11-2020,-,74600,1
American Academy of Ophthalmology (AAO) Mid-Year Forum 2020,Ophthalmology,Ophthalmology,0,United States Of America,"Washington, Dist Of Col",22-04-2020,25-04-2020,-,58500,1
American Academy of Optometry (AAOPT) 99th Annual Meeting,Ophthalmology,NA,0,United States Of America,"Nashville, Tennessee",07-10-2020,10-10-2020,-,10,1
American Association for Cancer Research (AACR) Annual Meeting 2020,Oncology,NA,1,United States Of America,"San Diego, California",24-04-2020,29-04-2020,-,89800,1
American Association for Cancer Research (AACR) Conference on Myeloma,Oncology,NA,1,United States of America,"Boston, Massachusetts",02-10-2020,05-10-2020,-,160000,1
American Association for Cancer Research (AACR) Special Conference on Pancreatic Cancer 2020,Oncology,Pancreatic Cancer,1,United States Of America,"Philadelphia, Pennsylvania",29-09-2020,02-10-2020,-,57300,1
American Association for Pediatric Ophthalmology and Strabismus (AAPOS) 46th Annual Meeting,Ophthalmology,"Ophthalmology,Strabismus",0,United States of America,"Austin, Texas",25-03-2020,29-03-2020,-,2370,1
American Association for Respiratory Care (AARC) Congress 2020,Respiratory,NA,1,United States Of America,"Orlando, Florida",14-11-2020,17-11-2020,-,28400,1
American Association for Respiratory Care (AARC) Summer Forum 2020,Respiratory,NA,1,United States Of America,"Snowbird, Utah",13-07-2020,15-07-2020,-,21500,1
American Association of Blood Banks (AABB) Annual Meeting 2020,Genetic Disorders,NA,0,United States Of America,"Baltimore, Maryland",03-10-2020,06-10-2020,-,77900,1
American Association of Cardiovascular and Pulmonary Rehabilitation (AACVPR) 35th Annual Meeting,Cardiology,Cardiovascular,0,United States of America,"West Palm Beach, Florida",30-09-2020,03-10-2020,-,2850,1
American Association of Diabetes Educators (AADE) Annual Conference 2020,Metabolic Disorders,Diabetes,0,United States Of America,"Atlanta, Georgia",14-08-2020,17-08-2020,-,16800,1
American Association of Neuromuscular and Electrodiagnostic Medicine (AANEM) Annual Meeting 2020,Cardiology,NA,0,United States Of America,"Orlando, Florida",07-10-2020,10-10-2020,-,2370,1
American Association of Pathologists' Assistants (AAPA) 9th Annual Spring Meeting,Pathology,NA,0,United States of America,"Charlotte, North Carolina",16-03-2020,18-03-2020,-,13800,1
American College of CBD & Cannabis (ACCC) - Spring Congress,Pathology,NA,1,United States of America,"Orlando, Florida",14-03-2020,15-03-2020,-,32800000,1
American College of Neuropsychopharmacology (ACNP) Annual Meeting 2020,Neurology,NA,0,United States Of America,"Phoenix, Arizona",06-12-2020,10-12-2020,-,4480,1
American Contact Dermatitis Society (ACDS) Annual Meeting 2020,Dermatology,Contact Dermatitis,0,United States of America,"Denver, Colorado",19-03-2020,NA,-,10500,1
American Contact Dermatitis Society (ACDS) Mid Year Meeting 2020,Dermatology,Contact Dermatitis,0,United States Of America,"Philadelphia, Pennsylvania",25-09-2020,26-09-2020,-,10600,1
American Delirium Society (ADS) 2020 Annual Meeting,Neurology,Delirium,0,United States of America,"Indianapolis, Indiana",14-06-2020,16-06-2020,-,288000,1
American Dermatological Association (ADA) Annual Meeting 2020,Dermatology,NA,1,United States of America,"Dana Point, California",28-10-2020,01-11-2020,-,247000,1
American Diabetes Association (ADA) 67th Advanced Postgraduate Course,Metabolic Disorders,Diabetes,0,United States Of America,"San Francisco, California",31-01-2020,02-02-2020,695,23700,1
American Diabetes Association (ADA) 80th Scientific Sessions,Metabolic Disorders,Diabetes,0,United States Of America,"Chicago, Illinois",12-06-2020,16-06-2020,895,119000,1
American Epilepsy Society (AES) 2020 Annual Meeting,Neurology,Epilepsy,0,United States Of America,"Seattle, Washington",04-12-2020,08-12-2020,-,198000,1
American Head And Neck Society (AHNS) 10th International Conference on Head and Neck Cancer,Oncology,Head And Neck Cancer,0,United States of America,"Chicago, Illinois",18-07-2020,22-07-2020,-,305000,1
American Heart Association (AHA) Scientific Sessions 2020,Cardiology,NA,1,United States Of America,"Dallas, Texas",14-11-2020,16-11-2020,-,799000,1
"American Institute For Radiologic Pathology Correlation Course (Feb 10 - Mar 06, 2020)",Pathology,NA,0,United States of America,"Silver Spring, Maryland",10-02-2020,06-03-2020,3000,643000,1
American Neurological Association,Neurology,NA,1,United States,Los Angeles,04-10-2020,06-10-2020,-,58500000,1
American Neuropsychiatric Association (ANPA) 31st Annual Meeting,Neurology,NA,0,United States Of America,"Philadelphia, Pennsylvania",18-03-2020,21-03-2020,-,691,1
American Ophthalmological Society (AOS) 156th Annual Meeting,Ophthalmology,NA,0,United States Of America,"La Jolla, California",14-05-2020,17-05-2020,-,8000,1
American Society for Clinical Pathology (ASCP) Annual Meeting 2020,Pathology,NA,0,United States Of America,"Austin, Texas",09-09-2020,11-09-2020,-,95100,1
American Society for Dermatologic Surgery (ASDS) Annual Meeting 2020,Dermatology,NA,0,United States Of America,"Prince Georges, Maryland",08-10-2020,11-10-2020,-,25100,1
American Society for Investigative Pathology (ASIP) Annual Meeting at Experimental Biology 2020,Pathology,NA,0,United States Of America,"San Diego, California",04-04-2020,08-04-2020,-,12200,1
American Society for Peripheral Nerve (ASPN) Annual Meeting 2020,Neurology,NA,0,United States Of America,"Fort Lauderdale, Florida",10-01-2020,12-01-2020,-,7350,1
American Society for Virology (ASV) 39th Annual Meeting,Infectious Disease,NA,0,United States Of America,"Fort Collins, Colorado",13-06-2020,17-06-2020,-,5980,1
American Society of ExtraCorporeal Technology (AmSECT) 58th International Conference,Neurology,NA,0,United States of America,"St Louis, Missouri",06-03-2020,08-03-2020,750,507,1
American Society of Human Genetics (ASHG) Annual Meeting 2020,Genetic Disorders,NA,0,United States Of America,"San Diego, California",27-10-2020,31-10-2020,-,14900,1
American Society of Neurophysiological Monitoring (ASNM) Annual Meeting 2020,Neurology,NA,0,United States of America,"St louis, Missouri",15-05-2020,17-05-2020,-,888,1
American Society of Ophthalmic Plastic & Reconstructive Surgery (ASOPRS) 2020 Spring Meeting,Ophthalmology,NA,0,Canada,"Quebec, Quebec",25-06-2020,28-06-2020,-,9400000,0
American Society of Ophthalmic Registered Nurses (ASORN) Annual Meeting 2020,Ophthalmology,NA,0,United States Of America,"Las Vegas, Nevada",13-11-2020,14-11-2020,-,32800,1
American Society of Pediatric Hematology/Oncology (ASPHO) Conference 2020,Oncology,NA,0,United States of America,"Fort Worth, Texas",06-05-2020,09-05-2020,-,2780,1
American Society of Retina Specialists (ASRS) Annual Meeting 2020,Ophthalmology,NA,0,United States Of America,"Seattle, Washington",23-07-2020,28-07-2020,-,17900,1
American Urological Association (AUA) 2020 Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Washington, Dist Of Col",15-05-2020,18-05-2020,1244,41500,1
American Urological Association (AUA) Annual Urology Advocacy Summit 2020,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Washington, Dist Of Col",16-03-2020,18-03-2020,-,17800,1
American Vein and Lymphatic Society (AVLS) 2020 Annual Congress,Cardiology,NA,0,United States Of America,"Washington, Dist Of Col",15-10-2020,18-10-2020,-,6280,1
American Venous Forum (AVF) 32nd Annual Meeting,Cardiology,NA,0,United States of America,"Amelia Island, Florida",03-03-2020,06-03-2020,-,15800,1
AMMI Canada - CACMID Annual Conference 2020,Infectious Disease,NA,0,Canada,"Vancouver, British Columbia",29-04-2020,02-05-2020,-,2590,0
"Angiogenesis, Exudation, and Degeneration 2020",Ophthalmology,NA,0,United States of America,"Miami, Florida",08-02-2020,NA,-,38700,1
Animal Models of Cancer Conference: From Cancer Genetics to Precision Oncology,Oncology,NA,0,Portugal,"Lisbon, Lisbon",14-07-2020,17-07-2020,-,13300000,1
Annual Conference on Pediatric Infectious Diseases,Infectious Disease,NA,0,NA,NA,NA,NA,-,31700000,0
Annual Congress of Japan Clinical Ophthalmology 2020,Ophthalmology,Ophthalmology,0,Japan,"Tokyo, Kanto",15-10-2020,18-10-2020,-,1930000,0
Annual Scientific Update in Urogynaecology 2020,Genito Urinary System And Sex Hormones,NA,0,United Kingdom,"London, England",12-11-2020,13-11-2020,-,43000,1
Annual Southern California Pituitary Symposium at USC,Neurology,NA,0,United States of America,"Los Angeles, California",24-10-2020,NA,-,155000,1
Annual Spring Dermatology Review 2020,Dermatology,Dermatology,0,Canada,"Vancouver, British Columbia",24-04-2020,25-04-2020,-,2440000,0
Antarctica Medical & Dental Conference 2020,Respiratory,NA,0,Argentina,"Ushuaia, Tierra Del Fuego",25-02-2020,09-03-2020,-,6.50E+07,0
AOCMF Course - Advances in Surgical Techniques on Condyle Fractures with Anatomical Specimens,Musculoskeletal Disorders,NA,0,Sri Lanka,"Kandy, Central",01-07-2020,03-07-2020,-,27300,0
AOCMF Seminar - Advances in Skullbase Multidisciplinary,Musculoskeletal Disorders,NA,0,China,"Harbin, Heilongjiang",10-01-2020,NA,-,8420,0
AOCMF Seminar - TMJ Surgery,Musculoskeletal Disorders,NA,0,Chile,"Santiago, Santiago",10-10-2020,NA,-,72100,1
Aortic Asia 2020,Cardiology,NA,0,Hong Kong,"Hong Kong, Hongkong",15-05-2020,16-05-2020,-,678000,0
"AOTrauma Course - Approaches and Fracture care in practice (Oct 18 - 30, 2020)",Musculoskeletal Disorders,NA,0,Netherlands,"Leiden, South Holland",18-10-2020,30-10-2020,-,7400,1
AOTrauma Course - Current concepts in Lower Extremity,Musculoskeletal Disorders,NA,0,India,"Bangalore, Karnataka",09-07-2020,11-07-2020,-,10200,0
AOTrauma Course - Current concepts in Upper Extremity,Musculoskeletal Disorders,NA,0,India,"Bangalore, Karnataka",09-07-2020,11-07-2020,-,7700,0
"AOTrauma Course - Lower Extremity (Feb 19 - 21, 2020)",Musculoskeletal Disorders,NA,0,Ukraine,"Kyiv, Kiev Oblast",19-02-2020,21-02-2020,-,10600,0
"AOTrauma Course - Management of Fractures of the Hand and Wrist (Sep 16 - 19, 2020)",Musculoskeletal Disorders,NA,0,Austria,"Graz, Styria",16-09-2020,19-09-2020,-,24400,1
AOTrauma Course - Managing Pediatric Musculoskeletal Injuries,Musculoskeletal Disorders,NA,0,Thailand,"Chiang Mai, Chiang Mai",28-05-2020,30-05-2020,-,20500,0
AOTrauma Course - Pelvic and Acetabular Fractures,Musculoskeletal Disorders,NA,0,Germany,"Homburg, Saarland",01-07-2020,03-07-2020,-,12700,1
AOTrauma Course for Specialists Operation area upper limb care,Musculoskeletal Disorders,NA,0,Switzerland,"Solothurn, Solothurn",25-03-2020,NA,-,12700,1
AOTrauma Marters Course - Managing Pediatric Musculoskeletal Injuries,Musculoskeletal Disorders,NA,0,Brazil,"Indaiatuba, Sao Paulo",20-08-2020,22-08-2020,-,5570,0
AOTrauma Masters Course - Complications infections,Infectious Disease,NA,0,Colombia,"Bogota, Bogota DC",16-09-2020,19-09-2020,-,27200,0
AOTrauma Masters Course - Current Concepts - Upper Extremity I,Musculoskeletal Disorders,NA,0,Switzerland,"Davos, Graubunden",30-11-2020,04-12-2020,-,4440,1
AOTrauma Masters Course - Current Concepts - Upper Extremity II,Musculoskeletal Disorders,NA,0,Switzerland,"Davos, Graubunden",30-11-2020,04-12-2020,-,4970,1
"AOTrauma Masters Course - Upper extremity with Anatomical Specimens (May 28 - 30, 2020)",Musculoskeletal Disorders,NA,0,Thailand,"Chiang Mai, Chiang Mai",28-05-2020,30-05-2020,-,484,0
AOTrauma Seminar - Management of difficult injuries and conditions of musculoskeletal system,Musculoskeletal Disorders,NA,0,Lithuania,"Vilnius, Vilnius",28-02-2020,NA,-,16500,1
AOTrauma Symposium - Infections,Infectious Disease,NA,0,Russian Federation,"Moscow, Moscow (City)",09-09-2020,10-09-2020,-,8410,0
APASL STC 2020 on Portal Hypertension in China,Gastrointestinal,Portal Hypertension,0,China,"Guangzhou, Guangdong",05-06-2020,07-06-2020,-,2770,0
APIC 2020,Infectious Disease,NA,0,United States,Phoenix,10-06-2020,12-06-2020,-,492000,1
Applying Functional Medicine in Clinical Practice¬¨vÜ - March 2020,Cardiology,NA,0,United States of America,"Charleston, South Carolina",09-03-2020,13-03-2020,2630,1120000,1
Arkansas Rheumatology Association (ARA) 2020 Annual Meeting,Rheumatology,NA,0,United States Of America,"Little Rock, Arkansas",17-04-2020,19-04-2020,-,226000,1
Arrhythmias and the Heart: A Cardiovascular Update 2020,Cardiology,"Arrhythmias,Cardiovascular",0,United States of America,"Kohala Coast, Hawaii",27-01-2020,31-01-2020,-,798000,1
"ARRR Pirate Seminar (Acute Respiratory, Renal and Rhythms) - Auckland",Cardiology,NA,0,New Zealand,"Auckland, Auckland",28-05-2020,29-05-2020,495,42600,0
ARVO 2020,Ophthalmology,NA,0,United States,Baltimore,03-05-2020,07-05-2020,-,15400000,1
ASCCP 2020 Scientific Meeting on Anogenital & HPV-Related Diseases,Pathology,NA,0,United States Of America,"Orlando, Florida",31-03-2020,03-04-2020,1395,4420,1
ASCO Joint Session at the 12th Breast Gynecology Immunology International Cancer Conference,Oncology,Immunology,0,NA,NA,NA,NA,-,38300,0
ASCO JSMO Young Oncologist Workshop 2020,Oncology,NA,0,NA,NA,NA,NA,-,6340,0
ASCO-SITC Clinical Immuno-Oncology Symposium,Oncology,NA,0,United States,Orlando,06-02-2020,08-02-2020,-,63300,1
ASCP 2020 Annual Meeting,Pathology,NA,0,United States,Austin,09-09-2020,11-09-2020,-,116000,1
ASDP 57th Annual Meeting,Dermatology,NA,0,United States,Chicago,05-11-2020,08-11-2020,-,1910,1
ASHG 2020 Annual Meeting,Genetic Disorders,NA,1,United States,San Diego,27-10-2020,31-10-2020,-,17800,1
Asia - Pacific Neuro - Oncology CME Conference,Oncology,NA,0,United States of America,"Maui, Hawaii",03-08-2020,07-08-2020,-,176000,1
Asia Pacific Cardiology Congress,Cardiology,NA,0,NA,NA,NA,NA,-,1880000,0
Asia Pacific Combined Dermatology Research Conference 2020,Dermatology,Dermatology,0,Japan,"Shinjuku, Tokyo",20-11-2020,21-11-2020,-,1080000,0
Asia Pacific Diabetes Conference,Metabolic Disorders,Diabetes,0,NA,NA,NA,NA,-,12800000,0
Asia Pacific Heart Rhythm Society (APHRS) 2020 Scientific Session,Cardiology,NA,0,Hong Kong,"Hong Kong, Hongkong",01-11-2020,04-11-2020,-,2480,0
Asia-Pacific Congress of Interventional Oncology,Oncology,NA,0,NA,NA,NA,NA,-,824000,0
Asia-Pacific Dermatology & Cosmetology Conference 2020,Dermatology,Dermatology,0,Malaysia,Kuala Lumpur,20-02-2020,21-02-2020,-,4010000,0
Asian Oncology Society (AOS) 2020 Conference,Oncology,NA,0,Philippines,"Pasay, Metro Manila",05-03-2020,07-03-2020,-,563000,0
Asian Pacific Digestive Disease Week (APDW) 2020,Gastrointestinal,NA,0,Malaysia,"Kuala Lumpur, Kuala Lumpur",17-09-2020,20-09-2020,550,2440,0
ASM Microbe,Pathology,NA,0,United States,Chicago,18-06-2020,22-06-2020,-,549000,1
ASN 43rd Annual Meeting,Neurology,NA,0,United States,Atlanta,05-03-2020,07-03-2020,-,60800,1
ASNR 58th Annual Meeting,Neurology,NA,0,United States,Las Vegas,30-05-2020,04-06-2020,-,3660,1
ASRS 38th ANNUAL SCIENTIFIC MEETING,Ophthalmology,NA,0,United States,Seattle,24-07-2020,28-07-2020,-,9950,1
ASRS 38th Annual Scientific Meeting 2020,Ophthalmology,NA,0,United States,Seattle,24-07-2020,28-07-2020,-,36300,1
Assessment and Ideas for the Treatment of the Thorax in Adults with Neurological Damage 2020 by NCORE,Neurology,NA,0,United Kingdom,"Derby, England",09-03-2020,NA,-,881000,1
Assessment and Ideas for the Treatment of the Wrist and Hand in Adults with Neurological Damage 2020 by NCORE,Neurology,NA,0,United Kingdom,"Derby, England",30-03-2020,NA,-,124000,1
"Assessment and Treatment of Children with Oral Motor, Feeding/Swallowing and Respiratory Function Challenges: Children with Neuromuscular Involvement (Dec 04 - 06, 2020)",Respiratory,NA,0,United States of America,"Dallas, Texas",04-12-2020,06-12-2020,625,117000,1
Association for Continence Advice (ACA) 2020 Conference,Gastrointestinal,NA,1,United Kingdom,"Bristol, England",18-05-2020,19-05-2020,-,317000,1
Association for Molecular Pathology (AMP) 2020 Annual Meeting & Expo,Pathology,NA,0,Canada,"Vancouver, British Columbia",17-11-2020,21-11-2020,-,501000,0
Association for Molecular Pathology (AMP) Europe 2020 Congress,Pathology,NA,0,Italy,"Milan, Lombardia",11-05-2020,13-05-2020,-,332000,1
Association for Professionals in Infection Control and Epidemiology (APIC) 2020 Annual Conference,Infectious Disease,NA,0,United States Of America,"Phoenix, Arizona",10-06-2020,12-06-2020,-,29600,1
Association For Research In Otolaryngology (ARO) 43rd Annual MidWinter Meeting,Otorhinolaryngologic Diseases,NA,0,United States,San Jose,24-01-2020,29-01-2020,-,947,1
Association for Research in Vision and Ophthalmology(ARVO) 2020 Annual Meeting,Ophthalmology,Ophthalmology,0,United States Of America,"Baltimore, Maryland",03-05-2020,07-05-2020,-,43200,1
Association of British Neurologists (ABN) Annual Meeting 2020,Neurology,NA,0,United Kingdom,"Bournemouth, England",13-05-2020,15-05-2020,-,201000,1
Association of Cancer Executives (ACE) Annual Meeting 2020,Oncology,NA,1,United States Of America,"New Orleans, Louisiana",22-01-2020,24-01-2020,-,6970000,1
Association of Dermatology Administrators and Managers (ADAM) 28th Annual Meeting,Dermatology,Dermatology,0,United States of America,"Denver, Colorado",17-03-2020,19-03-2020,-,310000,1
Association of Physician Assistants in Oncology (APAO) 23rd Annual Conference,Oncology,NA,0,United States of America,"Denver, Colorado",27-08-2020,30-08-2020,-,4910,1
Association of Professors of Dermatology (APD) Annual Meeting 2020,Dermatology,Dermatology,1,United States Of America,"Chicago, Illinois",02-10-2020,03-10-2020,-,75300,1
Association of Professors of Human and Medical Genetics (APHMG) 2020 Workshop,Genetic Disorders,NA,0,United States Of America,"Palm Springs, California",27-04-2020,01-05-2020,-,160,1
AUGS Clinical Meeting: Advanced Solutions for the Complex Urogynecology Patient,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Fort Lauderdale, Florida",16-01-2020,18-01-2020,-,45400,1
Australasian Delirium Association (ADA) Conference 2020,Neurology,Delirium,0,Australia,"South brisbane, Queensland",02-09-2020,04-09-2020,-,71600,0
Australasian Society for Infectious Diseases (ASID) Annual Scientific Meeting 2020,Infectious Disease,NA,0,Australia,"Melbourne, Victoria",03-06-2020,05-06-2020,-,24000,0
Australia New Zealand Gynaecological Oncology Group (ANZGOG) Annual Scientific Meeting (ASM) 2020,Oncology,NA,0,Australia,"Melbourne, Victoria",25-03-2020,28-03-2020,-,4640,0
Australian and New Zealand Glaucoma Society (ANZGS) Scientific Meeting 2020,Ophthalmology,Glaucoma,0,Australia,"Adelaide, South Australia",14-02-2020,15-02-2020,-,205,0
Australian and New Zealand Society of Retinal Specialists (ANZSRS) Mid-Year Meeting 2020,Ophthalmology,NA,0,Australia,"Melbourne, Victoria",23-05-2020,24-05-2020,-,1670,0
Australian Rheumatology Association (ARA) 60th Annual Scientific Meeting,Rheumatology,NA,0,Australia,"Sydney, New South Wales",16-05-2020,19-05-2020,-,29800,0
"Autophagy in Stress, Development and Disease Gordon Research Seminar (GRS) 2020",Pathology,NA,0,United States Of America,"Ventura, California",07-03-2020,08-03-2020,-,22800,1
"Awesome Review Certification and Recertification Course (Apr 10 - 19, 2020)",Oncology,NA,0,United States Of America,"Uniondale, New York",10-04-2020,19-04-2020,1145,1160000,1
"Baby Beats and Breaths: Therapeutic Interventions for the Premature Infant with Cardiopulmonary Compromise (Aug 15 - 16, 2020)",Cardiology,NA,0,United States of America,"Atlanta, Georgia",15-08-2020,16-08-2020,435,109000,1
BAETS 2020 Annual Scientific Meeting,Metabolic Disorders,NA,0,NA,NA,08-10-2020,09-10-2020,-,11900000,0
BAS Sclerotherapy Conference 2020,Dermatology,NA,0,United Kingdom,"Windsor, England",19-05-2020,NA,-,36700,1
Basal Ganglia Gordon Research Conference (GRC) 2020,Neurology,NA,0,United States Of America,"Ventura, California",08-03-2020,13-03-2020,-,7350,1
Basal Ganglia Gordon Research Seminar (GRS) 2020,Neurology,NA,0,United States of America,"Ventura, California",07-03-2020,08-03-2020,-,13100,1
"Basic Bobath Course (Jun 08, 2020 - Sep 25, 2020)",Neurology,NA,0,United Kingdom,"Manchester, England",08-06-2020,25-09-2020,-,76000,1
"Basic Course Laparoscopic Surgery (Mar 09 - 12, 2020)",Gastrointestinal,NA,0,Germany,"Bochum, North Rhine-Westphalia",09-03-2020,12-03-2020,-,1420000,1
"Basic ECG Review Course (Jan 17, 2020)",Cardiology,NA,0,United States of America,"San Jose, California",17-01-2020,NA,-,622000,1
